S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3011916.0,TARUN MOHANTY,INR,"29,430,026","CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,06-Nov-2025 12:18 PM,finsummary_545880.pdf (1012.62 KB),Technical,14 Nos of bidders participated,Akshaya Kumar Naik,19-Aug-2025 09:24 PM,,CE RW I||RWCIRCLE-BARIPADA,2025_CERWI_115480_1,NCB 378,Construction of HL bridge over local nallah at 0/050km on Tangra sahi to Basaghutu road in the district of Mayurbhanj,Finance,11 Nos of bidders admitted,Akshaya Kumar Naik,01-Sep-2025 11:32 AM,finance_545880.pdf,BOQ Comparative Chart,"CCERWCIRCLE, BARIPADA",Internal,,Akshaya Kumar Naik,19-Aug-2025 10:20 PM,22-Aug-2025 03:00 PM,techsummary_545880.pdf (1033.77 KB),1,3011626,JEETESH RANJAN BEHERA,25-Jul-2025 12:21 PM,Rejected-AOC,L1,08-Dec-2025 04:55 PM,04-Dec-2025,"INR 29,430,026",365.0,Akshaya Kumar Naik,08-Dec-2025 04:54 PM,Tangra.pdf (409.00 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,RC PAN GST ATO Similarnature of Work experience affidavit etc as DTCN,"3,46,200",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Circle Officer,"RURAL WORKS CIRCLE, BARIPADA",Construction of HL bridge over local nallah at 0/050km on Tangra sahi to Basaghutu road in the district of Mayurbhanj,Construction of HL bridge over local nallah at 0/050km on Tangra sahi to Basaghutu road in the district of Mayurbhanj,NA ,NA ,"3,46,20,000",Civil Works - Bridges,NA ,Tender,90.0,365.0,Mayurbhanj,757105.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE, BARIPADA",No ,No,11-Jul-2025 06:55 PM,28-Jul-2025 11:00 AM,11-Jul-2025 06:55 PM,25-Jul-2025 05:00 PM,11-Jul-2025 06:55 PM ,24-Jul-2025 05:00 PM ,11-Jul-2025 06:55 PM,25-Jul-2025 05:00 PM,22-Aug-2025 03:00 PM,CE RW I||RWCIRCLE-BARIPADA,NCB 378,2025_CERWI_115480_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3010693,MANOJ KUMAR MOHANTY,24-Jul-2025 09:09 PM,Rejected-AOC,L1,08-Dec-2025 04:55 PM,,,,,,,AOC,,,.pdf,"Machineries, Affidavit etc as per DTCN",,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3011954,M/S AKASH INFRATECH PROP. AKASHDEEP SINGH SANDHU,25-Jul-2025 04:10 PM,Rejected-Technical,Insufficient similar nature of work experience.,19-Aug-2025 10:20 PM,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3011890,M/S ALPHA CONSTRUCTION,25-Jul-2025 04:19 PM,Rejected-AOC,L4,08-Dec-2025 04:55 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3003328,Nanda Kishore Bindhani,25-Jul-2025 02:20 PM,Rejected-AOC,L3,08-Dec-2025 04:55 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3011108,PARAMESWAR MALLICK,25-Jul-2025 12:27 PM,Rejected-AOC,L2,08-Dec-2025 04:55 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3011968,PRATAP KUMAR BEURIA,25-Jul-2025 04:07 PM,Rejected-Technical,Insufficient similar nature of work experience.,19-Aug-2025 10:20 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3002570,SILVER CREEK CONSTRUCTIONS,25-Jul-2025 02:00 PM,Rejected-AOC,L1,08-Dec-2025 04:55 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3008123,SRI SUBASH CHANDRA MANDAL,25-Jul-2025 06:04 AM,Rejected-AOC,L1,08-Dec-2025 04:55 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3011915,SUJIT KUMAR JENA,25-Jul-2025 03:15 PM,Rejected-AOC,L3,08-Dec-2025 04:55 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
