S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3130286.0,RAJENDRA SWAIN,INR,"678,368",Finance,Bid opening,Avijit Barik,11-Dec-2025 05:23 PM,finance_554780.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,12-Dec-2025 05:17 PM,finsummary_554780.pdf (414.58 KB),CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_118996_1,SERWSBD ONLINE 04-2025-26,S/R to Agriculture Godown building at Pottangi,Superintending Engineer,Internal,,Avijit Barik,11-Dec-2025 05:25 PM,techsummary_554780.pdf (476.35 KB),12-Dec-2025,"INR 678,368",60.0,Avijit Barik,12-Dec-2025 05:20 PM,Woagrgodoot.pdf (780.00 KB),1,3131972,BABULI KUMAR SIYA,17-Oct-2025 11:32 AM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,07-Oct-2025 11:00 AM,20-Oct-2025 03:00 PM,07-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,07-Oct-2025 11:00 AM ,18-Oct-2025 05:00 PM ,07-Oct-2025 11:00 AM,20-Oct-2025 11:00 AM,S/R to Agriculture Godown building at Pottangi,S/R to Agriculture Godown building at Pottangi,NA ,NA ,"7,97,986",Civil Works - Buildings,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,"4,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD ONLINE 04-2025-26,2025_CERWI_118996_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA","8,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"BID COST, EMD, REGISTRATION CERTIFICATE, PAN, GST, NO RELEATION CERTIFICATE, OTHERS AS PER DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3127992,Balabhadra Khillo,14-Oct-2025 08:25 PM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3129757,Bhaskar Haroku Barik,15-Oct-2025 06:30 PM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3131605,BINITA MANDINGI,19-Oct-2025 06:30 PM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3127031,CH.BIBHUTI BHUSAN SHREE CHANDAN MAHENDRA BAHADUR,14-Oct-2025 09:18 AM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3131610,Dasaratha Khillo,16-Oct-2025 07:46 PM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3133913,JOSADA KHARA,18-Oct-2025 12:13 PM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3135908,PADMA CHARAN BISOI,19-Oct-2025 02:39 PM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3130286,RAJENDRA SWAIN,16-Oct-2025 07:30 AM,Accepted-AOC,Qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3135391,SANTOSH KUMAR PRADHAN,19-Oct-2025 11:59 AM,Rejected-AOC,Not qualified,12-Dec-2025 05:20 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
