Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"SE RW Division, Balasore","O/o the SE RW Division, Balasore","11,959",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","6,000",0.0,Nil,Nil,No,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,Talamedhi to Padampur NH-5 Via Haladia Road,Talamedhi to Padampur NH-5 Via Haladia Road,Please refer tender documents ,NA ,"11,95,941",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,26-Dec-2025 12:19 PM,techsummary_557498.pdf (607.69 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,26-Dec-2025 12:22 PM,finsummary_557498.pdf (607.69 KB),Finance,Document downloaded,Soubhagya Kumar Das,06-Nov-2025 03:44 PM,finance_557498.pdf,BOQ Comparative Chart,1.0,3172590.0,GAJENDRA MAJHI,INR,"1,016,669",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_24,04 SERW BLS 2025-26,Talamedhi to Padampur NH-5 Via Haladia Road,1,3172590,GAJENDRA MAJHI,03-Nov-2025 03:47 PM,Accepted-AOC,Qualified,26-Dec-2025 12:27 PM,26-Dec-2025,"INR 1,016,669",60.0,Soubhagya Kumar Das,26-Dec-2025 12:26 PM,24SL.pdf (608.00 KB),AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3157051,JYOTSNARANI CHOUDHURY,29-Oct-2025 07:40 AM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3173991,KAILASH NAYAK,02-Nov-2025 02:41 PM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3160532,MAHADEBI PARTIHARI,30-Oct-2025 02:05 PM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3176995,NARENDRA MAHANTY,03-Nov-2025 01:54 PM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3168906,Niranjan Das,30-Oct-2025 10:52 PM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3175815,PANKAJ KUMAR BISWAL,02-Nov-2025 11:17 PM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3169646,SARAT CHANDRA ROUT,02-Nov-2025 08:42 AM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3168780,Subhadra Mohanty,30-Oct-2025 08:02 PM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3170583,Surjyananda Pradhan,31-Oct-2025 06:48 PM,Rejected-AOC,Not Qualified,26-Dec-2025 12:27 PM,,,,,,,AOC
