Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Tender will be finalized after downloaded Bid documents scrutinized,Sudipta Senapati,03-Dec-2025 02:57 PM,finance_554593.pdf,BOQ Comparative Chart,1.0,3122590.0,SURYA NARAYAN PANDA,INR,"178,792",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_118931_1,online07SERWDII2526,S R to R I Office building at Pitatali for the year 2025 26,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,05-Dec-2025 04:13 PM,finsummary_554593.pdf (2403.43 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,05-Dec-2025 04:08 PM,techsummary_554593.pdf (931.97 KB),05-Dec-2025,"INR 178,792",30.0,Sudipta Senapati,05-Dec-2025 04:17 PM,3RIoffPitataliWO.pdf (830.00 KB),Work Order,1,3126517,AJIT KUMAR SAHU,13-Oct-2025 06:27 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur",1.0,Fee/PreQual/Technical/Finance,.pdf,Affidavit GSTIN PAN RC boq and other papers as per DTCN,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,"2,200",Yes,fixed,,Nil,Nil,03-Oct-2025 06:55 PM,14-Oct-2025 05:00 PM,03-Oct-2025 06:55 PM,14-Oct-2025 04:00 PM,03-Oct-2025 06:55 PM ,13-Oct-2025 05:00 PM ,03-Oct-2025 06:55 PM,14-Oct-2025 04:00 PM,S R to R I Office building at Pitatali for the year 2025 26,S R to R I Office building at Pitatali for the year 2025 26,NA ,NA ,"2,10,319",Civil Works - Buildings,NA ,Tender,90.0,30.0,Berhampur,760012.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,online07SERWDII2526,2025_CERWI_118931_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3123153,BULU SAHU,11-Oct-2025 01:36 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3127866,GAGAN KUMAR SAHU,14-Oct-2025 03:35 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3127864,GOUR CHANDRA SAHU,14-Oct-2025 03:31 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3123278,Jeetendra Kumar Pradhan,11-Oct-2025 03:07 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3120012,LOKANATH SABAT,09-Oct-2025 03:29 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3123302,Mitra Sethi,11-Oct-2025 04:20 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3125119,NARASINGH PRADHAN,13-Oct-2025 02:26 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3125195,NILANCHAL PRADHNA,13-Oct-2025 11:23 AM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3116518,PADMA LOCHAN SAHU,08-Oct-2025 02:16 PM,Rejected-AOC,Unsuccessful Bidder,05-Dec-2025 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
