Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,11 nos of Bidders.,Subhrata Meher,15-Nov-2025 11:07 AM,finance_558584.pdf,BOQ Comparative Chart,17-Dec-2025,"INR 428,560",60.0,Subhrata Meher,17-Dec-2025 06:24 PM,AOC.pdf (479.00 KB),Work awarded in regular lottery system,1.0,3193927.0,Nalini Meher,INR,"428,560",CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120114_34,BI No.Tender Online SNPR-06 of 2025-26.,S/R to L025-Irrigation road to Goilguri from ch. 0/000 to 1/500 Km,1,3183884,Alok Kumar Dehuri,06-Nov-2025 11:47 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,Er Subhrata Meher,Internal,,Subhrata Meher,17-Dec-2025 06:18 PM,techsummary_558584.pdf (329.56 KB),Er Subhrata Meher,Internal,,Subhrata Meher,17-Dec-2025 06:20 PM,finsummary_558584.pdf (329.56 KB),AOC,"4,000",0.0,Nil,Nil,No,S/R to L025-Irrigation road to Goilguri from ch. 0/000 to 1/500 Km,Civil S/R Roads works,Please refer Tender documents. ,NA ,"5,04,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-06 of 2025-26.,2025_CERWI_120114_34,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,29-Oct-2025 05:00 PM,10-Nov-2025 11:00 AM,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,29-Oct-2025 05:00 PM ,06-Nov-2025 04:00 PM ,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur","5,040",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2,3171192,Anusaya Mendili,04-Nov-2025 03:15 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity (BOQ),,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,3189291,Asirbad Mishra,07-Nov-2025 02:12 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,3188724,DURGESH PANDA,07-Nov-2025 03:09 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,3170620,MANJUSA BHOI,01-Nov-2025 07:35 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,3193927,Nalini Meher,07-Nov-2025 02:52 PM,Accepted-AOC,Work awarded in regular lottery system,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,3190141,PRAYAS KUMAR SAHU,06-Nov-2025 04:47 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,3185579,Pulak Chandra Mishra,06-Nov-2025 03:39 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,3193970,Santosh Kumar Dash,07-Nov-2025 02:52 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,3193045,SUCHISMITA HOTA,07-Nov-2025 12:30 PM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,3192112,Uma Bhoi,07-Nov-2025 08:28 AM,Rejected-AOC,Rejected,17-Dec-2025 06:24 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
