S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,ST and SC Development Deptt||ITDA Gunupur,ITDAGNP 01/2024-25,2025_STSCD_110360_22,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Construction of 50 seated primary school hostel building at primary Sevashram Raiguda under Gunupur Block,Building work,Please refer to tender documents ,NA ,"1,17,63,961",Civil Works - Buildings,NA ,Tender,90.0,334.0,Gunupur,765022.0,NA ,NA ,NA ,PA ITDA Gunupur,No ,No,PA ITDA Gunupur,PA ITDA Gunupur,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender paper, EMD, PAN, GSTIN, GSTRC, Labour Licenses, Affidavit, RC, Experience Certificate",10-Feb-2025 10:00 AM,01-Mar-2025 11:00 AM,10-Feb-2025 10:00 AM,28-Feb-2025 05:00 PM,10-Feb-2025 10:00 AM ,28-Feb-2025 05:00 PM ,10-Feb-2025 10:00 AM,28-Feb-2025 05:00 PM,26-Jul-2025 10:00 AM,"1,17,700",Yes,fixed,,Nil,Nil,AOC,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,25-Jul-2025 06:16 PM,26-Jul-2025 10:00 AM,techsummary_529323.pdf (430.14 KB),Finance,technical bid,Ajaya Kumar Pradhan,15-Dec-2025 03:02 PM,finance_529323.pdf,BOQ Comparative Chart,Collector Rayagada,Internal,"PA,ITDA, AEE,ITDA, Gunupur",Ajaya Kumar Pradhan,15-Dec-2025 03:08 PM,finsummary_529323.pdf (1384.26 KB),Technical,Technical Evalation,Ajaya Kumar Pradhan,25-Jul-2025 06:11 PM,technical_529323.pdf,1,2841456,ALLAPA AKHIL KUMAR,28-Feb-2025 01:50 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,ST and SC Development Deptt||ITDA Gunupur,2025_STSCD_110360_22,ITDAGNP 01/2024-25,Construction of 50 seated primary school hostel building at primary Sevashram Raiguda under Gunupur Block,1.0,2841095.0,BASUDEB DAS,INR,"10,000,543.25",15-Dec-2025,"INR 10,000,543.25",334.0,Ajaya Kumar Pradhan,15-Dec-2025 03:12 PM,2572.pdf (431.00 KB),"PA,ITDA, AEE,ITDA, Gunupur",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience Certificate and other related documents as per DTCN,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2829256,AMITAV PATNAIK,24-Feb-2025 01:46 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2840980,ANANTA KUMAR GOUDO,28-Feb-2025 08:47 AM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2841095,BASUDEB DAS,28-Feb-2025 01:44 PM,Accepted-AOC,Awarded to Lowest 1,15-Dec-2025 03:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2827031,Ch Mohan Rao,28-Feb-2025 03:43 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,2841550,KEDARA NATHA SAHU,28-Feb-2025 02:52 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,2840847,Manoj Kumar Anduru,28-Feb-2025 08:02 AM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,2841728,Prasanna Kumar Panigrahi,28-Feb-2025 04:54 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,2841477,Radha Kanta Panda,28-Feb-2025 02:37 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,2841259,RAKESH KUMAR CHOUDHURY,28-Feb-2025 12:52 PM,Rejected-Finance,Not Sucess in the Lottery Process,15-Dec-2025 03:08 PM,,,,,,,,,,,,,,,,,AOC
