Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
EXECUTIVE ENGINEER,"OFFICE OF E.E. LIFT IRRIGATION DIVISION, MASTER LANE, BOUDH-762014","99,423",Yes,fixed,,Nil,Nil,"INSTALLATION AND ENERGISATION OF BALARAMPUR-II, BALARAMPUR-III AND BALARAMPUR-IV LIFT IRRIGATION PROJECT UNDER HARABHANGA BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF","INSTALLATION AND ENERGISATION OF BALARAMPUR-II, BALARAMPUR-III AND BALARAMPUR-IV LIFT IRRIGATION PROJECT UNDER HARABHANGA BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF",PLEASE REFER TENDER DOCUMENT DTCN ,NA ,"99,42,295",Civil Works - Lift Irrigation Schemes,RIVER LIFT ,Tender,365.0,120.0,BOUDH,762014.0,NA ,NA ,NA ,"OFFICE OF E.E. LIFT IRRIGATION DIVISION, BOUDH",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD, PAN, GST AND OTHER DOCUMENTS AS PER DTCN",Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Boudh,OLIC-BOUDH-14/2025-26/4229 DT-26.09.2025,2025_OLIC_118998_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"11,800",0.0,Nil,Nil,No,09-Oct-2025 11:00 AM,24-Oct-2025 11:00 AM,09-Oct-2025 11:00 AM,23-Oct-2025 05:00 PM,09-Oct-2025 11:00 AM ,20-Oct-2025 05:00 PM ,09-Oct-2025 11:00 AM,23-Oct-2025 05:00 PM,AOC,Orissa Lift Irrigation Corporation||LI Southern Circle Berhampur||LI Division Boudh,2025_OLIC_118998_10,OLIC-BOUDH-14/2025-26/4229 DT-26.09.2025,"INSTALLATION AND ENERGISATION OF BALARAMPUR-II, BALARAMPUR-III AND BALARAMPUR-IV LIFT IRRIGATION PROJECT UNDER HARABHANGA BLOCK IN BOUDH DISTRICT UNDER BKVY-RIDF","Executive Engineer,L.I.Division, Boudh",Internal,"Estimator, L.I. Division, Boudh, Assistant Accountant, L.I. Division, Boudh",Satya Narayan Rana,18-Dec-2025 04:37 PM,finsummary_554796.pdf (419.98 KB),Finance,Fourteen nos of bidders have participated,Satya Narayan Rana,25-Oct-2025 03:11 PM,,BOQ Comparative Chart,1.0,3143964.0,SUBHASHREE SWAIN,INR,"8,451,944.98",18-Dec-2025,"INR 9,973,295",120.0,Satya Narayan Rana,18-Dec-2025 04:42 PM,Package10.pdf (1192.00 KB),Awarded,1,3144434,CHITTA RANJAN GARNAYAK,23-Oct-2025 12:31 AM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,"Executive Engineer,L.I.Division, Boudh",Internal,"Estimator,L.I.Division,Boudh, Assistant Accountant , L.I.Division,Boudh",Satya Narayan Rana,28-Nov-2025 10:38 PM,techsummary_554796.pdf (328.17 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3126685,DEBADATTA KHAMARI,23-Oct-2025 12:22 AM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3143997,Dinesh kumar karna,22-Oct-2025 08:05 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3135625,HAWAMA MEMON,21-Oct-2025 08:41 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3123864,MOHANLAL AGRAWAL,22-Oct-2025 08:00 PM,Rejected-Technical,Please refer Uploaded Tender Committee Report,28-Nov-2025 10:38 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3129895,M/S. BALIYARSINGH ELECTRICAL ENGINEERING & CONSTRUCTION,15-Oct-2025 07:12 PM,Rejected-Finance,Rejected due to L2 Bidder,18-Dec-2025 04:37 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3142125,M/S DILIP KUMAR SAHOO,23-Oct-2025 01:04 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3136249,MS Shree Shyam and Co,19-Oct-2025 06:32 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3142036,Pinaki Mishra,22-Oct-2025 11:48 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3140684,SAILENDRA KUMAR PRADHAN,21-Oct-2025 07:09 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3139512,Satyanarayan Pande,22-Oct-2025 06:22 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3144206,SOUBHAGYA PRADHAN,22-Oct-2025 09:57 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3143964,SUBHASHREE SWAIN,22-Oct-2025 07:47 PM,Accepted-AOC,Accept,18-Dec-2025 04:42 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,3141783,Tapas Kumar Sahoo,22-Oct-2025 03:40 PM,Rejected-AOC,Reject,18-Dec-2025 04:42 PM,,,,,,,AOC
