Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
PHEO||SEPH-CIRCLE-BERHAMPUR||EEPH-DIVN-CHHATRAPUR,37-1/03/SPH(C)/ 2025 -26 dt. 8.10.2025,2025_PHEO_119250_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Procurement installation testing and commissioning of Multijet water meter at consumer end of Aska NAC under AAP- 2025-26 SUJAL,Procurement installation testing and commissioning of Multijet water meter at consumer end of Aska NAC under AAP- 2025-26 SUJAL,Please refer Tender documents. ,NA ,"21,15,000",Civil Works - Water Works,NA ,Tender,120.0,90.0,Aska,761110.0,NA ,NA ,NA ,Chatrapur,No ,No,Superintending Engineer P.H,"Superintending Engineer, P.H.Division, Bhanjanagar at Chatrapur, Near L.I.C.Colony, Chatrapur, Orissa -761020","21,150",Yes,fixed,,Nil,Nil,"6,000",0.0,Nil,Nil,Yes,10-Oct-2025 02:00 PM,23-Oct-2025 01:00 PM,10-Oct-2025 02:00 PM,22-Oct-2025 05:30 PM,10-Oct-2025 02:00 PM ,20-Oct-2025 05:30 PM ,10-Oct-2025 02:00 PM,22-Oct-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender Paper, EMD, PAN, GSTIN, Affidavits as per DTCN",1.0,ICICI BANK,AOC,PHEO||SEPH-CIRCLE-BERHAMPUR||EEPH-DIVN-CHHATRAPUR,2025_PHEO_119250_1,37-1/03/SPH(C)/ 2025 -26 dt. 8.10.2025,Procurement installation testing and commissioning of Multijet water meter at consumer end of Aska NAC under AAP- 2025-26 SUJAL,1.0,3141255.0,SIMRAN SAHOO,INR,"1,797,740",Additional Chief Engineer PH,Internal,"Additional Chief Engineer PH , Estimator , DAO ,",Prasanta Kumar Das,22-Dec-2025 06:04 PM,techsummary_555301.pdf (484.86 KB),Additional Chief Engineer PH,Internal,"Additional Chief Engineer PH , DAO , Estimator ,",Prasanta Kumar Das,22-Dec-2025 06:09 PM,finsummary_555301.pdf (484.86 KB),Finance,5(Five) no of Technically bid opened online,Prasanta Kumar Das,23-Oct-2025 05:38 PM,finance_555301.pdf,BOQ Comparative Chart,22-Dec-2025,"INR 1,797,740",90.0,Prasanta Kumar Das,22-Dec-2025 06:14 PM,Order.pdf (573.00 KB),The L1 Bidder Simran Sahoo,1,3124393,ASWINI KUMAR SAHU,12-Oct-2025 05:03 PM,Rejected-AOC,1st lowest,22-Dec-2025 06:14 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificates, Formats, Schedules and other documents if any as per DTCN",2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3138697,SANTOSH PATRA,22-Oct-2025 01:10 PM,Rejected-AOC,1st lowest,22-Dec-2025 06:14 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3141255,SIMRAN SAHOO,21-Oct-2025 10:33 PM,Accepted-AOC,1st lowest,22-Dec-2025 06:14 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3133659,SURAJ SWAIN,19-Oct-2025 10:44 PM,Rejected-AOC,1st lowest,22-Dec-2025 06:14 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3136474,SURENDRA KUMAR SAHOO,19-Oct-2025 07:24 PM,Rejected-AOC,1st lowest,22-Dec-2025 06:14 PM,AOC
