EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"7,053",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,EXECUTIVE ENGINEER,O/o Superintending Engineer RWSS Division Balangir,Supply all materials labour T and P commissioning of external power supply of RPWS to village Mursing_Source under Deogaon Block,Supply all materials labour T and P commissioning of external power supply of RPWS to village Mursing_Source under Deogaon Block,Please refer DTCN ,NA ,"7,05,324",Electrical Works,Electrical Works ,Tender,90.0,45.0,Mursing under Deogaon Block,767029.0,NA ,NA ,NA ,O/o Superintending Engineer RWSS Division Balangir,No ,No,06-Feb-2025 11:00 AM,15-Feb-2025 11:00 AM,06-Feb-2025 11:00 AM,14-Feb-2025 05:00 PM,NA ,NA ,06-Feb-2025 11:00 AM,14-Feb-2025 05:00 PM,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,BID NO 15 OF 2024 -25,2025_RWSS_110212_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD, GST, PAN, CONTRACTOR REGISTRATION CERTIFICATE, EXPERIENCE CERTIFICATE ETC","4,000",0.0,Nil,Nil,No,AOC,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,11-Dec-2025 12:32 PM,techsummary_528679.pdf (1992.30 KB),1.0,2817575.0,M/S SAMBEET SUPPLIERS,INR,"599,596",Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Bolangir,2025_RWSS_110212_3,BID NO 15 OF 2024 -25,Supply all materials labour T and P commissioning of external power supply of RPWS to village Mursing_Source under Deogaon Block,1,2817452,Arihant Electricals and Engineers,14-Feb-2025 01:32 PM,Rejected-AOC,REJECTED AS PER OPWD CODE,11-Dec-2025 12:55 PM,ROUPYARANJAN_BEHERA,Internal,ARJUN_MATHO_ Khagendra_Barik,Khagendra Barik,11-Dec-2025 12:39 PM,finsummary_528679.pdf (1992.30 KB),Finance,bid has opened,Khagendra Barik,15-Feb-2025 05:48 PM,finance_528679.pdf,BOQ Comparative Chart,11-Dec-2025,"INR 599,596",45.0,Khagendra Barik,11-Dec-2025 12:55 PM,mursingha.pdf (1992.00 KB),L1 BIDDER HAS RESPOND,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,AOC,,,,,,,,,,,,,,,,2,2817422,ASHOK CHANDRA PATRA,14-Feb-2025 11:46 AM,Rejected-Finance,AFTER TRANSPERENT LOTERY,11-Dec-2025 12:39 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTIYY,,,,,,AOC,,,,,,,,,,,,,,,,3,2817575,M/S SAMBEET SUPPLIERS,14-Feb-2025 12:58 PM,Accepted-AOC,AWARDED AS PER OPWD CODE,11-Dec-2025 12:55 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2810650,PNP CONSTRUCTION,11-Feb-2025 05:24 PM,Rejected-Finance,AFTER TRANSPERENT LOTERY,11-Dec-2025 12:39 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2817476,SIMANCHAL KUMAR PANDA,14-Feb-2025 12:17 PM,Rejected-Finance,AFTER TRANSPERENT LOTERY,11-Dec-2025 12:39 PM,,,,,,,,,,,,,,,,,,,,AOC
