Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",0.0,Nil,Nil,No,"36,912",Yes,percentage,1.0%,Nil,Nil,11-Jul-2025 12:00 PM,22-Jul-2025 11:00 AM,11-Jul-2025 12:00 PM,21-Jul-2025 05:00 PM,11-Jul-2025 12:00 PM ,19-Jul-2025 05:00 PM ,11-Jul-2025 12:00 PM,21-Jul-2025 05:00 PM,Construction of New Sub-Centre Building at Baniakilinda under Tileibani block in the dist of Deogarh,Civil,Please refer Tender documents. ,NA ,"36,91,241",Civil Works - Buildings,NA ,Tender,90.0,180.0,Deogarh,768119.0,NA ,NA ,NA ,O/o the EE RW Division Deogarh,No ,No,EE RW Division Deogarh,O/o the EE RW Division Deogarh,1.0,ICICI BANK,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,EERWDGH-Online-02 of 2025-26,2025_CERWI_115374_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,1,3004094,DUSMANTA PRADHAN,19-Jul-2025 02:13 PM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,24-Dec-2025,"INR 3,137,924",180.0,Subash Chandra Besra,24-Dec-2025 11:27 AM,agt.pdf (317.00 KB),SE,Internal,,Subash Chandra Besra,24-Dec-2025 11:17 AM,techsummary_545819.pdf (317.05 KB),SE,Internal,,Subash Chandra Besra,24-Dec-2025 11:21 AM,finsummary_545819.pdf (317.05 KB),CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,2025_CERWI_115374_8,EERWDGH-Online-02 of 2025-26,Construction of New Sub-Centre Building at Baniakilinda under Tileibani block in the dist of Deogarh,1.0,3005305.0,MADHABA BHOI,INR,"3,137,924",Finance,All are admitted,Raj Kumar Meher,24-Jul-2025 08:49 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,TCN,AOC,2,3003530,GHANASHYAM SAHU,18-Jul-2025 09:10 PM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,3,3005178,KALYAN KUMAR SAHOO,20-Jul-2025 03:40 PM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3005305,MADHABA BHOI,20-Jul-2025 05:41 PM,Accepted-AOC,Drawn the agreement,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3005467,NARENDRA KUMAR PRADHAN,20-Jul-2025 07:13 PM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3006289,Omprakash Pradhan,21-Jul-2025 11:22 AM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2998147,PADMALAYA DHARUA,15-Jul-2025 08:48 PM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3002460,RAJALAXMI SAHU,18-Jul-2025 07:09 AM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3004684,Rohit Kisan,20-Jul-2025 12:26 AM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3004818,"SHRI GANESH CONSTRUCTION,PROP-SAPAN KUMAR SAHU",20-Jul-2025 05:04 PM,Rejected-AOC,Unsuccessful,24-Dec-2025 11:27 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
