S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3171964.0,M/S SHREE SHYAM REALCON,INR,"2,010,947",Finance,13 nos. bidder participated,Tripura Mahananda,04-Nov-2025 12:59 PM,,BOQ Comparative Chart,"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,23-Dec-2025 12:02 PM,finsummary_557099.pdf (1817.82 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,2025_PRDGB_119786_3,PS-GLMND-T-1/2025-26,Construction of office building and 50 MT Godown of Golamunda PACS under Golamunda Block,"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,23-Dec-2025 11:55 AM,techsummary_557099.pdf (1817.82 KB),23-Dec-2025,"INR 2,010,947",180.0,Tripura Mahananda,23-Dec-2025 12:05 PM,GolamundaPACS.pdf (1818.00 KB),1,3147560,BALLABHI SENAPATI,30-Oct-2025 10:41 AM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,1.0,ICICI BANK,22-Oct-2025 11:00 AM,04-Nov-2025 11:00 AM,22-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,22-Oct-2025 11:00 AM ,28-Oct-2025 05:00 PM ,22-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,"Block Development officer, Golamunda","O/o Panchayat Samiti, Golamunda","6,000",Nil,Nil,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,PS-GLMND-T-1/2025-26,2025_PRDGB_119786_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of office building and 50 MT Godown of Golamunda PACS under Golamunda Block,Building,Please refer Tender documents. ,NA ,"23,65,542",Civil Works - Buildings,NA ,Tender,90.0,180.0,Golamunda,766016.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Golamunda",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GST, RC , No Relation certificate","24,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3147552,KSHETRA SENAPATI,29-Oct-2025 07:37 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3176343,MAHENDRA NAIK,03-Nov-2025 11:06 AM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3174864,Manaranjan Behera,03-Nov-2025 02:55 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3177104,MANOJ KUMAR AGRAWAL,03-Nov-2025 01:57 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3171964,M/S SHREE SHYAM REALCON,01-Nov-2025 04:22 PM,Accepted-AOC,Qualified,23-Dec-2025 12:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3167066,NARAYANA MEHER,30-Oct-2025 11:26 AM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3172638,PRATAP KISHOR NAIK,01-Nov-2025 05:02 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3171652,RAJKISHOR PANDA,01-Nov-2025 05:28 PM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3172923,SATYABANTA BAGARTTI,02-Nov-2025 10:34 AM,Rejected-Finance,Disqualified,23-Dec-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
