Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Repair to Bridge over Local Nallah on Khlkona - Rajanpanasguda road_Road_Bridge approach repair, WBM, SDBC, Protection wall_3/600 to 4/000","Repair to Bridge over Local Nallah on Khlkona - Rajanpanasguda road_Road_Bridge approach repair, WBM, SDBC, Protection wall_3/600 to 4/000",NA ,NA ,"9,97,188",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,"10,000",Yes,fixed,,Nil,Nil,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 02 2025 26,2025_CERWI_119331_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",1.0,ICICI BANK,11-Oct-2025 11:00 AM,23-Oct-2025 11:00 AM,11-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,11-Oct-2025 11:00 AM ,20-Oct-2025 05:00 PM ,11-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119331_1,SERWSBD Online 02 2025 26,"Repair to Bridge over Local Nallah on Khlkona - Rajanpanasguda road_Road_Bridge approach repair, WBM, SDBC, Protection wall_3/600 to 4/000",Superintending Engineer,Internal,,Avijit Barik,14-Nov-2025 05:48 PM,finsummary_555429.pdf (408.46 KB),Finance,Bid opening,Avijit Barik,14-Nov-2025 05:42 PM,finance_555429.pdf,BOQ Comparative Chart,1.0,3130879.0,JAGANATH BISOI,INR,"847,709",18-Nov-2025,"INR 847,709",60.0,Avijit Barik,06-Dec-2025 01:43 PM,wokhalkonbrd.pdf (842.00 KB),1,3129726,Balaram Subuddhi,15-Oct-2025 05:52 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,Superintending Engineer,Internal,,Avijit Barik,14-Nov-2025 05:44 PM,techsummary_555429.pdf (468.24 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.xls,Boq,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3141810,BHASKAR BIDIKA,22-Oct-2025 11:04 AM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3140012,GUPTA BISOI,21-Oct-2025 02:59 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3130879,JAGANATH BISOI,16-Oct-2025 12:50 PM,Accepted-AOC,Qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3133055,KHAGAPATI SAUNTA,17-Oct-2025 06:05 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3141017,PRAPHULLA MUDULI,21-Oct-2025 08:37 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3135978,PRASAD KHARA,19-Oct-2025 03:24 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3142817,PRASANTA KUMAR MOHANTY,22-Oct-2025 02:26 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3129669,RAJIB LOCHAN BISOYI,15-Oct-2025 06:32 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3141437,RAMACHANDRA BAGH,21-Oct-2025 11:51 PM,Rejected-AOC,Not qualified,06-Dec-2025 01:43 PM,,,,,,,AOC
