Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Jagatsinghpur Municipality,EO/ JSPURM/W-04/2024-25,2025_ORULB_111143_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost,EMD,PAN,GST,Registration,NRC,Declaration,affidavit, Other as per DTCN",Repair and Renovation of Homeopathy Dispensary in Ward No.17,Repair and Renovation of Homeopathy Dispensary in Ward No.17,Please refer Tender documents. ,NA ,"5,06,924",Civil Works - Others,NA ,Tender,60.0,90.0,Repair and Renovation of Homeopathy Dispensary in,754103.0,NA ,NA ,NA ,Jagatsinghpur Municipality,No ,No,28-Feb-2025 11:00 AM,21-Mar-2025 04:30 PM,28-Feb-2025 11:00 AM,18-Mar-2025 05:00 PM,NA ,NA ,28-Feb-2025 11:00 AM,18-Mar-2025 05:00 PM,"4,720",0.0,Nil,Nil,No,"Executive Officer, Jagatsinghpur Municipality","Jagatsinghpur Municipality, Jagatsinghpur",1.0,ICICI BANK,"5,069",Yes,fixed,,Nil,Nil,AOC,Chairperson,Internal,"Addl. Treasury Officer, Municipal Engineer, Executive Officer",Manas Ranjan Pal,08-Dec-2025 12:01 PM,finsummary_531606.pdf (1368.93 KB),Chairperson,Internal,"Addl. Treasury Officer, Municipal Engineer, Executive Officer",Manas Ranjan Pal,06-Dec-2025 03:33 PM,techsummary_531606.pdf (1368.93 KB),1,2860024,ASHIM KUMAR MOHANTY,18-Mar-2025 10:31 AM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,1.0,2855724.0,M/s GURU PRASAD ACHARYA,INR,"430,943.22",Municipal Bodies||Jagatsinghpur Municipality,2025_ORULB_111143_18,EO/ JSPURM/W-04/2024-25,Repair and Renovation of Homeopathy Dispensary in Ward No.17,08-Dec-2025,"INR 430,943.22",90.0,Manas Ranjan Pal,08-Dec-2025 12:07 PM,18.pdf (2083.00 KB),Finance,All bidders are accepted for further action.,Manas Ranjan Pal,03-Apr-2025 04:48 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,2,2860159,BATAKRUSHNA SETHY,17-Mar-2025 09:40 PM,Rejected-AOC,L1 As Per Lottery,08-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2853127,BISWA RANJAN MOHANTY,14-Mar-2025 02:03 PM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2853008,DASARATHI SWAIN,13-Mar-2025 10:32 AM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2860675,GURU CHARAN BARIK,18-Mar-2025 12:16 PM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2854052,HIMANSU SEKHAR PAITAL,17-Mar-2025 06:10 PM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,2853864,JITENDRA KUMAR BEHERA,13-Mar-2025 07:43 PM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,2855898,MADHUSMITA SAHOO,15-Mar-2025 08:59 PM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2854607,MANAS KUMAR MUDULI,16-Mar-2025 01:10 PM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2859204,MOHAN KUMAR MALLICK,18-Mar-2025 02:06 PM,Rejected-Finance,Lottery,08-Dec-2025 12:01 PM,,,,,,,,,,,,,,,,,,,,,,AOC
