Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,04-Nov-2025 01:50 PM,techsummary_550253.pdf (5017.75 KB),Rourkela Municipal Corporation,2025_RMC_117214_15,MC/RMC/33/2025,"Re Construction of Drain and Road at Chawla Auto side Gali Ward No 26, under RMC, Rourkela.",1.0,3060777.0,SHIVAM TRADERS,INR,"211,536.53",1,3065149,RAJENDRA KUMAR RAY,05-Sep-2025 10:45 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:50 PM,Finance,EMD refund,Birendra Nanda,04-Nov-2025 12:46 PM,finance_550253.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,12-Dec-2025 12:32 PM,finsummary_550253.pdf (5017.74 KB),12-Dec-2025,"INR 211,536.53",30.0,Manas Biswal,12-Dec-2025 01:06 PM,BID33.pdf (5018.00 KB),Awarded to Shivam Traders,AOC,1,ICICI BANK,"Re Construction of Drain and Road at Chawla Auto side Gali Ward No 26, under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"2,49,000",Civil Works - Others,NA ,Tender,90.0,30.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN",22-Aug-2025 06:00 PM,08-Sep-2025 11:00 AM,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,Rourkela Municipal Corporation,MC/RMC/33/2025,2025_RMC_117214_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,490",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,3060777,SHIVAM TRADERS,02-Sep-2025 11:47 AM,Accepted-AOC,By The Tender Committee,12-Dec-2025 01:06 PM,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
