EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"28,500",Yes,fixed,,Nil,Nil,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-IINo.10/2025-26,2025_ORULB_113870_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Restoration of Road and drain from Milon Bodu res to Sukanta Singh res in Ward No. 28.,Restoration of Road and drain from Milon Bodu res to Sukanta Singh res in Ward No. 28.,Please refer Tender documents. ,NA ,"28,46,700",Civil Works - Others,NA ,Tender,90.0,90.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane Badambadi",No ,No,02-Aug-2025 03:00 PM,19-Aug-2025 11:00 AM,02-Aug-2025 03:00 PM,14-Aug-2025 05:00 PM,NA ,NA ,02-Aug-2025 03:00 PM,14-Aug-2025 05:00 PM,1.0,ICICI BANK,"7,080",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST,EMD,GST,PAN,REGISTRATION CERTIFICATE,OTHER DOCUMENTS AS PER DTCN in online.","Executive Engineer, CD-II","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",AOC,Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,05-Dec-2025 04:42 PM,finsummary_548075.pdf (414.67 KB),Executive Engineer,Internal,Asst. Executive Engineer,Subas Chandra Sahoo,05-Dec-2025 04:38 PM,techsummary_548075.pdf (414.67 KB),05-Dec-2025,"INR 2,419,886",90.0,Subas Chandra Sahoo,05-Dec-2025 04:45 PM,2025_ORULB_113870_11.pdf (415.00 KB),Work Order,1,3036206,BASUDEV BEHERA,14-Aug-2025 04:11 PM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,1.0,3036225.0,SAMARJEET SWAIN,INR,"2,419,886",Municipal Bodies||Cuttack Municipal Corporation,2025_ORULB_113870_11,MC(CMC)CTC_Div-IINo.10/2025-26,Restoration of Road and drain from Milon Bodu res to Sukanta Singh res in Ward No. 28.,Finance,Ten bidders to be verified. participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Bharat Kumar Sethi,19-Aug-2025 06:40 PM,finance_548075.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,.xls,Bill of Quantity,,,AOC,,,,,,,,,,,,,,,,,,,,2,3036107,DEBASIS NATH,14-Aug-2025 03:17 PM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,3036181,HRUSHIKESH SAHOO,14-Aug-2025 04:01 PM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,3034633,PRASANA KUMAR BEHERA,13-Aug-2025 01:47 PM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,3035570,Ramesh Kumar Mahali,14-Aug-2025 11:14 AM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,3036225,SAMARJEET SWAIN,14-Aug-2025 04:24 PM,Accepted-AOC,Accepted,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,3036220,SANJAY KUMAR DALAI,14-Aug-2025 04:21 PM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,3036059,SHIBA SANKAR SETHI,14-Aug-2025 02:47 PM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,3036211,SOMYA RANJAN MOHARANA,14-Aug-2025 04:15 PM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,3035635,SUMANTA DAS,14-Aug-2025 11:57 AM,Rejected-AOC,Rejected,05-Dec-2025 04:45 PM,,,,,,,,,,,,,,,,AOC
