Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of 1 nos D type Qtr at Jugal PHC Building under Betnoti Block in the Mayurbhanj District for the year 2023-24,Construction of 1 nos D type Qtr at Jugal PHC Building under Betnoti Block in the Mayurbhanj District for the year 2023-24,NA ,NA ,"30,29,406",Civil Works - Buildings,NA ,Tender,90.0,180.0,Mayurbhanj,757002.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MAYURBHANJ",No ,No,Divisional Officer,"RURAL WORKS DIVISION, MAYURBHANJ","30,294",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,1.0,ICICI BANK,28-Oct-2025 11:00 AM,03-Nov-2025 05:30 PM,28-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,28-Oct-2025 11:00 AM ,03-Nov-2025 03:00 PM ,28-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,05(Online)/RWD/BPD/2025-26,2025_CERWI_120150_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_120150_1,05(Online)/RWD/BPD/2025-26,Construction of 1 nos D type Qtr at Jugal PHC Building under Betnoti Block in the Mayurbhanj District for the year 2023-24,R.Pradhan,Internal,,Dibyamayee Behera,04-Dec-2025 12:49 PM,finsummary_558638.pdf (197.43 KB),Finance,.,Dibyamayee Behera,01-Dec-2025 05:22 PM,finance_558638.pdf,BOQ Comparative Chart,1.0,3169595.0,CHANDAN KUMAR BEHERA,INR,"2,575,298",18-Dec-2025,"INR 2,575,298",180.0,Rajesh Pradhan,20-Dec-2025 06:49 PM,154.pdf (347.00 KB),1,3177792,BANU MOHANTY,03-Nov-2025 03:00 PM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,R.Pradhan,Internal,,Dibyamayee Behera,03-Dec-2025 04:53 PM,techsummary_558638.pdf (197.44 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3169595,CHANDAN KUMAR BEHERA,02-Nov-2025 02:08 PM,Accepted-AOC,Lottery winner,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3170315,HARISH CHANDRA MOHANTY,31-Oct-2025 05:22 PM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3175522,KIRAN KUMAR DANDPAT,02-Nov-2025 08:56 PM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3176366,MANORANJAN UPADHAYAYA,03-Nov-2025 11:29 AM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3169955,PRADIP KUMAR SINGHA,31-Oct-2025 05:25 PM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3175651,RAJDEEP SADUAL,02-Nov-2025 09:39 PM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3177575,RAKESH KUMAR SAHU,03-Nov-2025 02:11 PM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3167627,RUPAN KUMAR BEHERA,31-Oct-2025 11:56 AM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3172217,SATYAGOPAL MOHAPATRA,01-Nov-2025 04:51 PM,Rejected-AOC,unsuccessful tenderer,20-Dec-2025 06:49 PM,,,,,,,AOC
