S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,2935324.0,CHITRASEN GAJENDRA,INR,"2,733,049",Finance,Document downloaded for evaluation,Sachin Kumar Sahoo,31-May-2025 11:45 AM,,BOQ Comparative Chart,SACHIN KU SAHOO,Internal,1.N.SRINIVAS 2.SANJOG MEHER,Tarulata Acharya,22-Jul-2025 03:16 PM,finsummary_540783.pdf (1063.36 KB),EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-II-BBSR,2025_EICCL_113694_4,eTCN.03/2025-26,"S/R to road from Kalpana square to Garrage chhaka (via-Ratha road) (Such as providing and laying BM, SDBC and Thermoplastic compound over existing damaged bitumen surface) for the year 2025-26",SACHIN KU SAHOO,Internal,1.n.srinivas 2.sanjg meher,Tarulata Acharya,22-Jul-2025 12:53 PM,techsummary_540783.pdf (1014.80 KB),1,2936393,BALABHADRA ROUT,27-May-2025 10:07 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,12-Aug-2025,"INR 2,733,049",30.0,Sachin Kumar Sahoo,01-Dec-2025 02:26 PM,aoc.pdf (1116.00 KB),Awarded through transparency lottery system,AOC,"S/R to road from Kalpana square to Garrage chhaka (via-Ratha road) (Such as providing and laying BM, SDBC and Thermoplastic compound over existing damaged bitumen surface) for the year 2025-26","S/R to road from Kalpana square to Garrage chhaka (via-Ratha road) (Such as providing and laying BM, SDBC and Thermoplastic compound over existing damaged bitumen surface) for the year 2025-26",Please refer Tender documents. ,NA ,"32,14,974",Civil Works - Roads,NA ,Tender,90.0,30.0,BHUBANESWAR,751003.0,NA ,NA ,NA ,Office of S E BBSR R and B Divn No II,No ,No,22-May-2025 06:55 PM,29-May-2025 11:00 AM,22-May-2025 06:55 PM,28-May-2025 05:00 PM,NA ,NA ,22-May-2025 06:55 PM,28-May-2025 05:00 PM,"32,150",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer BBSR R and B Divn No II,Office of S E BBSR R and B Divn No II Surya nagar Unit-7,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"R.C.PAN,GST,BID COST,EMD, ALL AFFIDAVIT SCHEDULE A TO F, ALL MACHINARIES ETC AS PER APPROVED DTCN",EIC-CIVIL||SERNB-CIRCLE-CENTRAL||EERNB-DIVN-II-BBSR,eTCN.03/2025-26,2025_EICCL_113694_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2938579,BHAGIRATHI BISWAL,28-May-2025 04:50 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2930685,BIRAJA MAHIMA PANIGRAHI,27-May-2025 12:21 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2936082,BISWAJIT JENA,27-May-2025 07:50 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2935324,CHITRASEN GAJENDRA,27-May-2025 04:18 PM,Accepted-AOC,Awarded through transparency lottery system,01-Dec-2025 02:26 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2935780,CHITTARANAJAN SARANGI,27-May-2025 06:28 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2938401,DEBANSHEE INFRA AND ASSOCIATES,28-May-2025 04:03 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2934450,DISHAISHA UDYOG PRIVATE LIMITED,28-May-2025 03:54 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2938314,MAMATA BISOI,28-May-2025 03:42 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2937752,MASUM MALLIA,28-May-2025 01:41 PM,Rejected-Finance,Non-Responsive,22-Jul-2025 03:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
