Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"SE RW Division, Balasore","O/o the SE RW Division, Balasore",1.0,Fee/PreQual/Technical/Finance,.pdf,"P.cost, EMD, RC, Pan, valid GSTIN, Affidavit, No relation certificate and other as per DTCN","22,626",Yes,percentage,1.0%,Nil,Nil,Rajnagar to Teliapada road,Rajnagar to Teliapada road,Please refer tender documents ,NA ,"22,62,616",Civil Works - Roads,NA ,Tender,90.0,60.0,Balasore,756001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, BALASORE",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,04 SERW BLS 2025-26,2025_CERWI_119924_52,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,23-Oct-2025 04:00 PM,04-Nov-2025 11:00 AM,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,23-Oct-2025 04:00 PM ,03-Nov-2025 01:00 PM ,23-Oct-2025 04:00 PM,03-Nov-2025 05:00 PM,1.0,ICICI BANK,AOC,Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,10-Dec-2025 05:10 PM,finsummary_557598.pdf (637.96 KB),Soubhagya Kumar Das,Internal,,Soubhagya Kumar Das,10-Dec-2025 05:06 PM,techsummary_557598.pdf (637.96 KB),1,3170528,ABINASH NAYAK,03-Nov-2025 10:42 AM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BALASORE,2025_CERWI_119924_52,04 SERW BLS 2025-26,Rajnagar to Teliapada road,1.0,3165344.0,Bhabani Sankar Satapathy,INR,"1,923,450",10-Dec-2025,"INR 1,923,450",60.0,Soubhagya Kumar Das,10-Dec-2025 05:14 PM,52Sl.pdf (638.00 KB),Finance,Document downloaded,Priyadarshini Behera,07-Nov-2025 04:56 PM,finance_557598.pdf,BOQ Comparative Chart,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,2,3174280,ARATI TAREI,03-Nov-2025 12:16 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,3165344,Bhabani Sankar Satapathy,30-Oct-2025 12:33 PM,Accepted-AOC,Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,3170364,DILLIP KUMAR SAHU,01-Nov-2025 06:50 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,3173657,KAMALA PARIDA,02-Nov-2025 12:10 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,3167459,MAA JAGADHATRI LCCS LTD,30-Oct-2025 02:22 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3171907,MANOJ KUMAR SHAW,02-Nov-2025 03:08 PM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3175851,MS KALYANI ELECTRICALS AND CONSTRUCTION,03-Nov-2025 06:39 AM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,3176042,PRADEEPTI CHAND,03-Nov-2025 08:51 AM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,3175759,RABINDRA DAS,03-Nov-2025 09:35 AM,Rejected-AOC,Not Qualified,10-Dec-2025 05:14 PM,,,,,,,,,,,,,,,,,,,,,,AOC
