Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality",Internal,"Accountant, Auditor, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,14-Mar-2025 11:19 AM,17-Mar-2025 11:00 AM,techsummary_523537.pdf (153.97 KB),19-Dec-2025,"INR 1,500,000",90.0,Chandramani Swain,19-Dec-2025 04:08 PM,141.pdf (226.00 KB),Technical,ok,Chandramani Swain,12-Mar-2025 12:48 PM,technical_523537.pdf,Finance,ok,Chandramani Swain,21-Mar-2025 12:12 PM,finance_523537.pdf,BOQ Comparative Chart,"Sri Krishna Gopal Sitani, Chairperson, Brajrajnagar Municipality.",Internal,"Accountant, Auditor, Junior Engineer, Asst. Engineer, Municipal Engineer, Executive Officer, Chairperson, Brajrajnagar Municipality.",Chandramani Swain,19-Dec-2025 03:56 PM,finsummary_523537.pdf (2765.43 KB),1.0,2764441.0,SAGARIKA BARIK,INR,"1,271,059.31",1,2765229,AMIT CONSTRUCTION,20-Jan-2025 03:25 PM,Rejected-AOC,Rejected,19-Dec-2025 04:08 PM,Municipal Bodies||Brajrajnagar Municipality,2025_ORULB_108954_141,BRJNRM-05/2024-25,Const. of Paver Road and Drain at Bahadurpada W.No.10.,AOC,Municipal Bodies||Brajrajnagar Municipality,BRJNRM-05/2024-25,2025_ORULB_108954_141,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Contractor License, T.P., E.M.D. copy, PAN, GST, Affidavit and other relevant documents as per DTCN",1.0,Online submission of Bid Closing date and Opening date has been rescheduled,Date,,1.0,ICICI BANK,Const. of Paver Road and Drain at Bahadurpada W.No.10.,Paver Road and Drain,Please refer Tender documents ,NA ,"15,00,000",Civil Works - Others,NA ,Tender,90.0,90.0,Brajrajnagar Municipal Area,768216.0,NA ,NA ,NA ,Brajrajnagar Municipality,No ,No,04-Jan-2025 05:00 PM,21-Jan-2025 11:00 AM,04-Jan-2025 05:00 PM,20-Jan-2025 05:00 PM,NA ,NA ,04-Jan-2025 05:00 PM,20-Jan-2025 05:00 PM,17-Mar-2025 11:00 AM,"6,000",0.0,Nil,Nil,No,Executive Officer Brajrajnagar Municipality,Brajrajnagar Municipality At-Lamtibahal PO-Brajrajnagar Dist-Jharsuguda,"15,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2745876,RAKESH BARLA,13-Jan-2025 09:26 AM,Rejected-AOC,Rejected,19-Dec-2025 04:08 PM,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Bills of Quantity,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2764441,SAGARIKA BARIK,19-Jan-2025 01:06 PM,Accepted-AOC,Accepted,19-Dec-2025 04:08 PM,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
