S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
1.0,3080940.0,OASYS TECH SOLUTIONS PRIVATE LIMITED,INR,"346,100",S Dev Datta Singh IPS CP BBSR CTC,Internal,P Ch Pal OPS S DCP LO Ic Prov T K Panda Dy Sec Govt Hm Dpt Odisha R Roul OFS SB FO CP Hq BBSR S P Dash Sr Dir IT NIC BBSR,PRAKASH CHANDRA PAL,01-Nov-2025 06:50 PM,finsummary_549098.pdf (805.59 KB),DG Odisha Police Cuttack||Commissionerate Police Bhubaneswar Cuttack,2025_CMPBC_116802_1,CP-5/2025-26,Request For Proposal RFP For selection of a Consultancy Firm for establishing of Technical Assistance and Support Unit TASU for Commissionerate Police Bhubaneswar Cuttack,Technical,Technically Qualified,PRAKASH CHANDRA PAL,24-Oct-2025 01:20 PM,technical_549098.pdf,Finance,Admitted,PRAKASH CHANDRA PAL,01-Nov-2025 05:12 PM,,ADDL CP BBSR CTC,Internal,DCP LO Ic Prov CPHQ BBSR SP Security BBSR Addl DCP SCU CPHQ BBSR Finance Officer CPHQ BBSR Sr Director IT NIC BBSR,PRAKASH CHANDRA PAL,24-Oct-2025 01:30 PM,25-Oct-2025 11:30 AM,techsummary_549098.pdf (608.54 KB),01-Nov-2025,"INR 346,100",150.0,PRAKASH CHANDRA PAL,05-Dec-2025 06:03 PM,AOCTASU.pdf (170.00 KB),Declared as L1 bidder with approved quoted price Rs 346100 (Rupees Three Lakh Forty-Six Thousand One Hundred only) per month. The firm commence the work from 1st November 2025 under CFY-2025-26.,1,3080251,GRITTY RESEARCH ADVISORY SERVICES LLP,14-Sep-2025 11:27 PM,Rejected-Finance,Disqualified due to quoting the highest bid amount.,01-Nov-2025 06:50 PM,AOC,DG Odisha Police Cuttack||Commissionerate Police Bhubaneswar Cuttack,CP-5/2025-26,2025_CMPBC_116802_1,Yes,Open Tender,EOI,Services,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,Documents as per DTCN,1,Corrigendum3,Date,,Request For Proposal RFP For selection of a Consultancy Firm for establishing of Technical Assistance and Support Unit TASU for Commissionerate Police Bhubaneswar Cuttack,Request For Proposal RFP For selection of a Consultancy Firm for establishing of Technical Assistance and Support Unit TASU for Commissionerate Police Bhubaneswar Cuttack,Please refer Tender documents. ,NA ,,Human Resources Supply,NA ,Tender,90.0,NA ,Bhubaneswar and Cuttack,751001.0,Bhubaneswar ,CP Hdqrs Bhubaneswar ,02-Sep-2025 11:00 AM ,Bhubaneswar,No ,No,"1,00,000",No,fixed,,Nil,Nil,1,ICICI BANK,13-Aug-2025 03:30 PM,16-Sep-2025 11:00 AM,13-Aug-2025 03:30 PM,15-Sep-2025 05:00 PM,NA ,NA ,13-Aug-2025 03:30 PM,15-Sep-2025 05:00 PM,25-Oct-2025 11:30 AM,"11,800",Nil,Nil,No,DCP LO cum Ic Provisioning,CP Hdqrs Bhubaneswar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3080940,OASYS TECH SOLUTIONS PRIVATE LIMITED,15-Sep-2025 01:37 PM,Accepted-AOC,Declared as L1 bidder with approved quoted price Rs 346100 per month The firm commence the work from 1st November 2025 for CFY 2025 26 ie up to 31st March 2026 for 04 consultants as per Tender,05-Dec-2025 06:04 PM,AOC,,,,,,,,,,,,,,,2,Finance,.pdf,Price Bid,2,Corrigendum,Other,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
