Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No- 10/MIDA/2025-26,2025_CEMIB_118357_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"68,600",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN",1.0,ICICI BANK,Construction Of Black Toping Road On Canal Service Road In Baghira MIP In Harichandanpur Block Under CAPEX Grant For The Year 2025-26,Construction Of Black Toping Road On Canal Service Road In Baghira MIP In Harichandanpur Block Under CAPEX Grant For The Year 2025-26,Please refer Tender documents. ,NA ,"68,59,000",Civil Works - Others,NA ,Rate Contract,90.0,180.0,HARICHANDANPUR,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,"10,000",0.0,Nil,Nil,No,23-Sep-2025 10:00 AM,13-Oct-2025 10:00 AM,23-Sep-2025 10:05 AM,10-Oct-2025 05:00 PM,NA ,NA ,23-Sep-2025 10:10 AM,10-Oct-2025 05:00 PM,30-Oct-2025 06:30 PM,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",AOC,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_118357_3,Bid Identification No- 10/MIDA/2025-26,Construction Of Black Toping Road On Canal Service Road In Baghira MIP In Harichandanpur Block Under CAPEX Grant For The Year 2025-26,Technical,summary,Ashok Kumar Sethi,30-Oct-2025 06:24 PM,technical_553389.pdf,SE,Internal,,Ashok Kumar Sethi,13-Dec-2025 09:44 PM,finsummary_553389.pdf (248.12 KB),1.0,3104907.0,LALATENDU NAYAK,INR,"5,830,515.93",13-Dec-2025,"INR 5,830,515.93",180.0,Ashok Kumar Sethi,13-Dec-2025 09:49 PM,baghiracapexfin.pdf (248.00 KB),1,3102733,ABHILIPSA PRIYADARSINI JENA,29-Sep-2025 02:15 PM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,SE,Internal,,Ashok Kumar Sethi,30-Oct-2025 06:28 PM,30-Oct-2025 06:30 PM,techsummary_553389.pdf (768.90 KB),Finance,summary,Ashok Kumar Sethi,13-Dec-2025 09:30 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3119609,ADAITA JENA,09-Oct-2025 02:50 PM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3117783,AMIYA KUMAR MISHRA,08-Oct-2025 08:06 PM,Rejected-Technical,expired licensce,30-Oct-2025 06:28 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3118010,ANIL KUMAR SAHOO,08-Oct-2025 09:13 PM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3109955,ARUN KUMAR PRADHAN,04-Oct-2025 06:11 PM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3114046,ASHIS KUMAR ROUT,07-Oct-2025 01:07 PM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3118422,ASIN KUMAR JENA,09-Oct-2025 08:47 AM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3112612,BANANI PADHIHARI,06-Oct-2025 04:03 PM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3118375,BHARAT BHUSAN JENA,09-Oct-2025 11:42 AM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3106186,BHIMASEN SETHI,02-Oct-2025 08:59 PM,Rejected-Finance,lottery,13-Dec-2025 09:44 PM,,,,,,,,,,,,,,AOC
