Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Rourkela Municipal Corporation,2025_RMC_117214_5,MC/RMC/33/2025,"Reparing of Drain and Road from Hotel Bharat to Agarwall chowk Ward No 26, RMC Rourkela.",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,12-Dec-2025 12:12 PM,finsummary_550232.pdf (5017.74 KB),1.0,3064713.0,KARTIK DAS,INR,"1,388,577.52",12-Dec-2025,"INR 1,388,577.52",60.0,Manas Biswal,12-Dec-2025 12:43 PM,BID33.pdf (5018.00 KB),Awarded to Kartik Das,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,04-Nov-2025 01:02 PM,techsummary_550232.pdf (5017.75 KB),1,3059947,ARADHYA CONSTRUCTION,01-Sep-2025 06:47 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:02 PM,Finance,EMD refund,Birendra Nanda,04-Nov-2025 12:14 PM,finance_550232.pdf,BOQ Comparative Chart,AOC,"6,000",Nil,Nil,No,Rourkela Municipal Corporation,MC/RMC/33/2025,2025_RMC_117214_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,330",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, EMD, GST, Paper Cost and other documents as per DTCN","Reparing of Drain and Road from Hotel Bharat to Agarwall chowk Ward No 26, RMC Rourkela.",Works,Please refer Tender documents. ,NA ,"16,33,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,1.0,ICICI BANK,22-Aug-2025 06:00 PM,08-Sep-2025 11:00 AM,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,NA ,NA ,22-Aug-2025 06:00 PM,06-Sep-2025 05:00 PM,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3055248,ARATI TRIPATHY,29-Aug-2025 05:25 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3064713,KARTIK DAS,05-Sep-2025 05:42 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 12:43 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3050029,KAVYA CONSTRUCTION,26-Aug-2025 02:30 PM,Rejected-Technical,By The Tender Committee,04-Nov-2025 01:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
