Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-03/2025-26,2025_STSCD_116140_5,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,PROJECT ADMINISTRATOR,"ITDA, SUNDARGARH",29-Jul-2025 01:00 PM,13-Aug-2025 11:00 AM,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 01:00 PM,12-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN Card, GSTIN, No relation certificate, Affidavit and other documents as per DTCN","6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Construction of twin staff quarters (2 Units Teaching) at Rasti Sevashram under Balisankara Block,Construction of twin staff quarters (2 Units Teaching) at Rasti Sevashram under Balisankara Block,AS PER DTCN ,NA ,"36,47,102",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, SUNDARGARH",No ,No,"36,471",Yes,fixed,,Nil,Nil,AOC,ST and SC Development Deptt||ITDA Sundergarh,2025_STSCD_116140_5,ITDASNG-03/2025-26,Construction of twin staff quarters (2 Units Teaching) at Rasti Sevashram under Balisankara Block,COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,09-Dec-2025 04:53 PM,finsummary_547533.pdf (567.77 KB),Finance,Tender status,LAXMAN SAHOO,22-Aug-2025 11:30 AM,finance_547533.pdf,BOQ Comparative Chart,1.0,3033078.0,RAJ KUMAR PATEL,INR,"3,100,401",1,3021844,BIJAY KUMAR BEHERA,02-Aug-2025 06:57 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,09-Dec-2025,"INR 3,100,401",180.0,LAXMAN SAHOO,09-Dec-2025 04:57 PM,TSQRasti.pdf (553.00 KB),COLLECTOR SUNDARGARH,Internal,"PA,ITDA,SUNDARGARH, EE, MI DIVISION, SUNDARGARH, AEE, ITDA, SUNDARGARH",LAXMAN SAHOO,09-Dec-2025 04:49 PM,techsummary_547533.pdf (567.77 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3032817,BIKASH CHANDRA RAO,12-Aug-2025 11:50 AM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3033530,DEBASISH DANDSENA,12-Aug-2025 04:02 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3032311,KIRTIMEGHA PARIJA,11-Aug-2025 08:12 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3023538,MAHENDRA KHUKHARI,04-Aug-2025 05:34 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3033642,MANAS RANJAN DASH,12-Aug-2025 04:39 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3032130,MANOJ KUMAR PUROHIT,11-Aug-2025 06:26 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3025782,MARIYAM KISPOTTA,07-Aug-2025 06:34 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3029663,MOHAMMAD SHAHABUDDIN,09-Aug-2025 08:56 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3033355,PRIYADARSHI RANA,12-Aug-2025 02:43 PM,Rejected-AOC,Disqualified,09-Dec-2025 04:58 PM,,,,,,,,,,,,,AOC
