S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,Construction of GPLF Building with Market complex at Golagaon,Construction of GPLF Building with Market complex at Golagaon,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,180.0,180.0,Panchayat samiti Odagaon,752081.0,NA ,NA ,NA ,Panchayat Samiti Odagaon,No ,No,"6,000",Nil,Nil,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||ODAGAON Block,eTcn02/odagaon/2025-26,2025_PRODA_116412_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"25,431",Yes,fixed,,Nil,Nil,05-Aug-2025 11:00 AM,29-Aug-2025 11:00 AM,05-Aug-2025 11:00 AM,26-Aug-2025 05:00 PM,NA ,NA ,05-Aug-2025 11:00 AM,26-Aug-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"cost of tender paper, EMD,GSTIN, PAN , contractor RC,Affidevit, NRC, Any other document as per DTCN",Block Development Officer,Panchayat samiti Odagaon,AOC,1,3048728,AMIT KUMAR PRUSTY,25-Aug-2025 06:39 PM,Rejected-AOC,Not Selected through Lottery process.,27-Dec-2025 08:06 AM,27-Dec-2025,"INR 2,161,877",180.0,Arundhati Panda,27-Dec-2025 08:06 AM,GPLFGolagaonAOC.pdf (510.00 KB),BDO Odagaon,Internal,,Arundhati Panda,27-Dec-2025 07:54 AM,techsummary_548215.pdf (247.60 KB),BDO Odagaon,Internal,,Arundhati Panda,27-Dec-2025 07:59 AM,finsummary_548215.pdf (124.15 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||ODAGAON Block,2025_PRODA_116412_6,eTcn02/odagaon/2025-26,Construction of GPLF Building with Market complex at Golagaon,1.0,3047440.0,CHANDAN KUMAR NAYAK,INR,"2,161,877",Finance,Three numbers of Bidders admitted.,Arundhati Panda,26-Dec-2025 02:22 PM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC,2,3047440,CHANDAN KUMAR NAYAK,25-Aug-2025 04:16 PM,Accepted-AOC,Selected through Lottery process.,27-Dec-2025 08:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3050143,JAMBESWAR GHADEI,26-Aug-2025 03:43 PM,Rejected-AOC,Not Selected through Lottery process.,27-Dec-2025 08:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
