Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Appointment of Level II transport contractor for transportation of CMR from RRC to FPS Point of Saharapada Block,Appointment of Level II transport contractor for transportation of CMR from RRC to FPS Point of Saharapada Block,Refer to tender Document ,NA ,"59,28,618",Handling and Transportation,NA ,Tender,180.0,600.0,Saharapada Block under Keonjhar District,758016.0,"O/o - CCSO-cum-DM, OSCSC, Ltd, Keonjhar ","O/o - CCSO-cum-DM, OSCSC, Ltd, Keonjhar ",17-Jul-2025 04:00 PM ,"Mini Conference Hall, Collectorate , Keonjhar",No ,No,16-Jul-2025 02:00 PM,01-Aug-2025 11:00 AM,16-Jul-2025 02:00 PM,30-Jul-2025 05:00 PM,16-Jul-2025 02:00 PM ,17-Jul-2025 05:00 PM ,16-Jul-2025 02:00 PM,30-Jul-2025 05:00 PM,11-Aug-2025 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,NIT,"CCSO-cum-DM, OSCSC, Ltd, Keonjhar","O/o - CCSO-cum-DM, OSCSC, Ltd, Keonjhar",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,2154/Dt-15.07.2025,2025_OSCSC_115638_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"2,96,431",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Corrigendum,Technical Bid,,"5,900",0.0,Nil,Nil,No,AOC,15-Oct-2025,INR 52.83,600.0,Pabitra Kumar Sahoo,06-Dec-2025 01:27 PM,3144.pdf (716.00 KB),"The bidder accepted 7 percentage ASoR, Hence selected and appointed as L II TC for Saharapada Block w.e.f. 15/10/2025",1.0,3017346.0,MADHABANANDA SAHOO,30-Jul-2025 12:26 AM,Rejected-Finance,Rejected due to higher rate,14-Oct-2025 07:05 PM,Finance,The Bidder are admitted for financial evaluation.,Pabitra Kumar Sahoo,14-Oct-2025 07:02 PM,,BOQ Comparative Chart,Collector and District Magistrate Keonjhar,Internal,"DLO , Keonjhar / RTO, Keonjhar / DSWO, Keonjhar / CCSO, Keonjhar",Pabitra Kumar Sahoo,07-Aug-2025 08:32 PM,11-Aug-2025 03:00 PM,techsummary_546195.pdf (1854.90 KB),"Collector and District Magistrate , Keonjhar",Internal,"ADM,DLO,DSWO,RTO,CCSO",Pabitra Kumar Sahoo,14-Oct-2025 07:05 PM,finsummary_546195.pdf (2141.07 KB),Technical,The documents downloaded and submitted before DLTC for scrutiny,Pabitra Kumar Sahoo,07-Aug-2025 08:29 PM,,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Keonjhar,2025_OSCSC_115638_1,2154/Dt-15.07.2025,Appointment of Level II transport contractor for transportation of CMR from RRC to FPS Point of Saharapada Block,1.0,3017352.0,SABYA SACHI SAHOO,INR,52.83,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC,,,,,,,,2.0,3017352.0,SABYA SACHI SAHOO,30-Jul-2025 12:58 AM,Accepted-AOC,"The bidder accepted 7 percentage ASoR, Hence selected and appointed as L II TC for Saharapada Block w.e.f. 15/10/2025",06-Dec-2025 01:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
