S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3169187.0,THAN SUNDAR SA,INR,"2,000,476",Finance,11 nos. bidder participated,Tripura Mahananda,04-Nov-2025 12:18 PM,,BOQ Comparative Chart,"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,23-Dec-2025 11:48 AM,finsummary_557093.pdf (2009.27 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,2025_PRDGB_119786_1,PS-GLMND-T-1/2025-26,Construction of office building and 50 MT Godown of Badchergaon PACS under Golamunda Block,"Block Development Officer, Golamunda",Internal,,Tripura Mahananda,23-Dec-2025 11:35 AM,techsummary_557093.pdf (2009.27 KB),1,3147558,BALLABHI SENAPATI,30-Oct-2025 10:37 AM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,23-Dec-2025,"INR 2,000,476",180.0,Tripura Mahananda,23-Dec-2025 11:50 AM,BadchergaonPACS.pdf (2009.00 KB),AOC,22-Oct-2025 11:00 AM,04-Nov-2025 11:00 AM,22-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,22-Oct-2025 11:00 AM ,28-Oct-2025 05:00 PM ,22-Oct-2025 11:00 AM,03-Nov-2025 05:00 PM,"Block Development officer, Golamunda","O/o Panchayat Samiti, Golamunda",1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, PAN, GST, RC , No Relation certificate",1.0,Correction in Name,Other,,Construction of office building and 50 MT Godown of Badchergaon PACS under Golamunda Block,Building,Please refer Tender documents. ,NA ,"23,53,224",Civil Works - Buildings,NA ,Tender,90.0,180.0,Golamunda,766016.0,NA ,NA ,NA ,"O/o Panchayat Samiti, Golamunda",No ,No,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi||GOLAMUNDA Block,PS-GLMND-T-1/2025-26,2025_PRDGB_119786_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,"24,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3169636,JANAKI PUJHARI,01-Nov-2025 12:28 PM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3147550,KSHETRA SENAPATI,29-Oct-2025 07:34 PM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3174859,Manaranjan Behera,03-Nov-2025 02:45 PM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3177052,MANOJ KUMAR AGRAWAL,03-Nov-2025 01:52 PM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3171796,M/S SHREE SHYAM REALCON,01-Nov-2025 04:18 PM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3166993,NARAYANA MEHER,30-Oct-2025 10:54 AM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3172584,PRATAP KISHOR NAIK,01-Nov-2025 04:55 PM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3171613,RAJKISHOR PANDA,01-Nov-2025 05:24 PM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3165330,SUSANTA KUMAR BODKIA,31-Oct-2025 10:43 AM,Rejected-Finance,Disqualified,23-Dec-2025 11:48 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
