S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,Construction of Flood Resilient Road from Gothina to Samanga Khajuria Chhak via Banikuda Sadeipur Road in the District of Jagatsinghpur under SDMF for the year 2025 - 56.,Construction of Flood Resilient Road from Gothina to Samanga Khajuria Chhak via Banikuda Sadeipur Road in the District of Jagatsinghpur under SDMF for the year 2025 - 56.,NA ,NA ,"3,99,64,022",Civil Works - Roads,NA ,Tender,90.0,270.0,Jagatsinghpur,753004.0,NA ,NA ,NA ,"RURAL WORKS CIRCLE , CUTTACK",No ,No,25-Jul-2025 11:30 AM,08-Aug-2025 11:30 AM,25-Jul-2025 11:30 AM,07-Aug-2025 05:00 PM,25-Jul-2025 11:30 AM ,07-Aug-2025 02:00 PM ,25-Jul-2025 11:30 AM,07-Aug-2025 05:00 PM,24-Sep-2025 05:30 PM,CE RW I||RWCIRCLE-CUTTACK,Tender Online RWC 11/25-26,2025_CERWI_116074_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"3,99,640",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, RC, PAN, Registration Certificate, Labor License, No Relationship",Circle Officer,"RURAL WORKS CIRCLE , CUTTACK",AOC,1,3026582,AMBIKA PRASAD SINGH,07-Aug-2025 09:42 AM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,02-Dec-2025,"INR 33,973,415",270.0,Usharani Behera,15-Dec-2025 01:37 PM,Gothina.pdf (506.00 KB),C.C.E.R.W.Circle Cuttack,Internal,"SERWDIVISION, CUTTACK DAO RW DIVISION JAGATSINGHPUR PA TO CCE",Usharani Behera,23-Sep-2025 12:52 PM,24-Sep-2025 05:30 PM,techsummary_547342.pdf (494.00 KB),Finance,total 15 nos document downloaded,Usharani Behera,24-Sep-2025 05:51 PM,,BOQ Comparative Chart,Technical,Total 15 nos document downloaded,Ajay Kumar Behera,08-Aug-2025 05:22 PM,,CE RW I||RWCIRCLE-CUTTACK,2025_CERWI_116074_1,Tender Online RWC 11/25-26,Construction of Flood Resilient Road from Gothina to Samanga Khajuria Chhak via Banikuda Sadeipur Road in the District of Jagatsinghpur under SDMF for the year 2025 - 56.,C.C.E.R.W.Circle Cuttack,Internal,"SERWDIVISION, CUTTACK DAO RW DIVISION JAGATSINGHPUR PA TO CCE",Usharani Behera,11-Nov-2025 04:33 PM,finsummary_547342.pdf (417.16 KB),1.0,3025683.0,PRADYUMNA KUMAR DAS,INR,"33,973,415.273",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of Correctness Certificate undertaking duly filled, all affidavits",,,AOC,2,3026449,AMIT KUMAR BISWAL,07-Aug-2025 04:55 PM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"A.T.O from CA, Similar Nature of Work Experience Certificate, Work in Hand Machineries as per DTCN",,,AOC,3,3013320,DEBASIS PATI,04-Aug-2025 02:25 PM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,AOC,4,3021212,Haresh Kumar Agrawal,04-Aug-2025 07:26 PM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3027075,HRUSHIKESH SWAIN,07-Aug-2025 02:19 PM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3026490,KALINGA CONSTRUCTION,06-Aug-2025 11:58 PM,Rejected-Finance,Unsucessful bidder,11-Nov-2025 04:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3019839,MESSERS DURGA CONSTRUCTION,06-Aug-2025 08:29 AM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3025015,M/S. BAHUBALENDRA MALLICK,07-Aug-2025 01:50 PM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3027135,M/S. DEBI PRASAD TRIPATHY,07-Aug-2025 03:01 PM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3026611,M/S. RAGHUNATH KANDI,07-Aug-2025 11:20 AM,Rejected-AOC,L1,15-Dec-2025 01:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
