S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3000973.0,SAROJ KUMAR PRADHAN,INR,"1,647,098",Finance,34nos bids received,Mohammed Shahbaz,17-Jul-2025 02:31 PM,,BOQ Comparative Chart,Er. Md Shahbaz SE,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibash Sr DAO,Mohammed Shahbaz,12-Dec-2025 08:32 PM,finsummary_545741.pdf (1689.55 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_115415_2,SE CTC (RandB)-19 of 2025-26,"Repair and renovation to Old OPD Building of MHI in SCBMCH, Cuttack (such as grading concrete, plastering, painting, flooring, Door and window and other repair etc)",Er Md Shahbaz SE,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD) Mr N Srinibas Sr DAO,Mohammed Shahbaz,21-Aug-2025 01:20 PM,techsummary_545741.pdf (1298.70 KB),12-Dec-2025,"INR 1,647,098",60.0,Mohammed Shahbaz,12-Dec-2025 08:39 PM,115415_2_A.pdf (410.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 23.09.2025 to complete the work by 21.11.2025 in all respect,1,3000613,ADITYA KUMAR BEHERA PROPRIETOR SB CONSTRUCTION (SC),16-Jul-2025 11:12 AM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-19 of 2025-26,2025_EICCL_115415_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN","Repair and renovation to Old OPD Building of MHI in SCBMCH, Cuttack (such as grading concrete, plastering, painting, flooring, Door and window and other repair etc)",Building works,As per DTCN ,NA ,"19,37,534",Civil Works - Buildings,NA ,Tender,90.0,60.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,1.0,ICICI BANK,10-Jul-2025 06:00 PM,17-Jul-2025 11:00 AM,10-Jul-2025 06:00 PM,16-Jul-2025 05:00 PM,NA ,NA ,10-Jul-2025 06:00 PM,16-Jul-2025 05:00 PM,"19,400",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3000411,AJAYA KUMAR DAS,15-Jul-2025 09:48 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3000540,ANIL KUMAR PATRA,16-Jul-2025 08:43 AM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3000338,ANITA NAYAK,15-Jul-2025 08:46 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2999883,ASHOK KUMAR SWAIN,15-Jul-2025 01:31 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3000319,BAPUN KUMAR PRADHAN,15-Jul-2025 07:46 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3001128,BIKASH KUMAR NAYAK,16-Jul-2025 03:49 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3000761,BINAPANI ROUTRAY,16-Jul-2025 12:19 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2999696,CHANDRA SEKHAR BEHERA,15-Jul-2025 09:44 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3001080,DEBASIS JENA,16-Jul-2025 03:14 PM,Rejected-AOC,Rejected,12-Dec-2025 08:39 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
