S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD AND OTHER DOCUMENTS AS PER DTCN","7,080",0.0,Nil,Nil,No,"12,984",Yes,fixed,,Nil,Nil,EE LI CUTTACK,"O/O EXECUTIVE ENGINEER L.I. DIVISION, CUTTACK","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",05/OLIC(CTC)Dt.19.05.25,2025_OLIC_113642_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,22-May-2025 10:00 AM,06-Jun-2025 10:00 AM,22-May-2025 10:00 AM,05-Jun-2025 05:00 PM,22-May-2025 10:00 AM ,05-Jun-2025 04:00 PM ,22-May-2025 10:00 AM,05-Jun-2025 05:00 PM,REINFORCEMENT OF ALANA -II AND GANDHAN RL LI PROJECT,REINFORCEMENT OF ALANA -II AND GANDHAN RL LI PROJECT,Please refer Tender documents. ,NA ,"12,98,375",Civil Works - Lift Irrigation Schemes,NA ,Rate Contract,90.0,365.0,NAUGAON BLOCK,754001.0,NA ,NA ,NA ,EE LI CUTTACK,No ,No,AOC,12-Dec-2025,"INR 1,298,374.73",90.0,BHAGIRATHI MISHRA,12-Dec-2025 01:15 PM,ALANAGANDHAN20.pdf (297.00 KB),WORK ORDER ISSUED,1,2952410,AVIJIT MOHANTY,05-Jun-2025 01:11 PM,Rejected-Technical,OK,12-Dec-2025 01:09 PM,EE LI CUTTACK,Internal,EE LI CUTTACK AND OTHERS,BHAGIRATHI MISHRA,12-Dec-2025 01:09 PM,techsummary_540565.pdf (297.47 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI Division Cuttack",2025_OLIC_113642_20,05/OLIC(CTC)Dt.19.05.25,REINFORCEMENT OF ALANA -II AND GANDHAN RL LI PROJECT,EE LI CUTTACK,Internal,EE LI CUTTACK AND OTHERS,BHAGIRATHI MISHRA,12-Dec-2025 01:12 PM,finsummary_540565.pdf (297.47 KB),Finance,6 BIDDERS PARTICIPATED,Niranjan Naik,09-Jun-2025 12:40 PM,,BOQ Comparative Chart,1.0,2952071.0,Jugal Kishor sabar,INR,"1,233,585.83",AOC
2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2951310,CHANDAN KUMAR SAHOO,04-Jun-2025 03:37 PM,Rejected-Technical,OK,12-Dec-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2952071,Jugal Kishor sabar,05-Jun-2025 11:25 AM,Accepted-AOC,OK,12-Dec-2025 01:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2952648,NIRUPAMA BEHERA,05-Jun-2025 02:17 PM,Rejected-Technical,OK,12-Dec-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2952942,PANCHAMUKHI ELECTRICAL AND CONSTRUCTION,05-Jun-2025 04:15 PM,Rejected-Technical,OK,12-Dec-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2951994,SOUMYA RANJAN ROUT,05-Jun-2025 09:48 AM,Rejected-Technical,OK,12-Dec-2025 01:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
