S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2641922.0,SUBHASHREE BEHERA,INR,"4,831,332",Er.Soumya Ranjan Dwibedi,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Smita Pal,17-May-2025 02:14 PM,finsummary_514132.pdf (1151.30 KB),Technical,Total 11 Nos bidder are participated in the online tender,Rasmi Ranjan Sahoo,26-Nov-2024 05:14 PM,,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2024_EICCL_106338_1,TCN NO 23 OF 2024-25,Construction of Paddy Procurement Center At Sutana Gop Block Puri for the Year 2024-25 (800 sqft Cover Pindi),Finance,Total 11 Nos bidder are admitted,Smita Pal,21-Feb-2025 08:49 AM,,BOQ Comparative Chart,Er.Rashmi Ranjan Sahoo,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Rasmi Ranjan Sahoo,20-Feb-2025 02:27 PM,20-Feb-2025 04:00 PM,techsummary_514132.pdf (167.11 KB),17-Dec-2025,"INR 4,831,332",90.0,Soumya Ranjan Dwibedi,17-Dec-2025 03:58 PM,AOC.pdf (1454.00 KB),The bidder won the transparency lottery among the bidder so that the work has been awarded to him,1,2642129,BISWAJIT SENAPATI,12-Nov-2024 03:56 PM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,Er.Rashmi Ranjan Sahoo,O/o the S.E. R and B Division,04-Nov-2024 10:00 AM,13-Nov-2024 11:00 AM,04-Nov-2024 10:00 AM,12-Nov-2024 05:00 PM,NA ,NA ,04-Nov-2024 10:00 AM,12-Nov-2024 05:00 PM,20-Feb-2025 04:00 PM,Construction of Paddy Procurement Center At Sutana Gop Block Puri for the Year 2024-25 (800 sqft Cover Pindi),Construction of Paddy Procurement Center At Sutana Gop Block Puri for the Year 2024-25 (800 sqft Cover Pindi),Please refer Tender documents. ,NA ,"56,83,252",Civil Works - Buildings,NA ,Tender,90.0,90.0,Puri,752001.0,NA ,NA ,NA ,O/o the S.E. R and B Division,No ,No,"10,000",0.0,Nil,Nil,No,"56,833",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC,PAN,GST,EMD,COST OF TENDER PAPER,AFFIDAVIT,ALL SCHEDULE AND OTHER DOCUMENTS AS PER APPROVED DTCN",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN NO 23 OF 2024-25,2024_EICCL_106338_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2642245,CHANDAN KUMAR BEHERA,12-Nov-2024 04:26 PM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2632338,GANDHARB NAYAK,12-Nov-2024 03:56 PM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2640693,JITENDRA PRASAD BEHERA,11-Nov-2024 11:23 PM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2639571,MANASI BEHERA,12-Nov-2024 02:47 PM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2640749,MANDIP PAIKARAY,12-Nov-2024 12:00 AM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2637185,PRATISRUTI CONSTRUCTION PROP SUJIT KUMAR BEHERA (SC),12-Nov-2024 12:19 PM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2640834,RAJESH SWAIN,12-Nov-2024 08:34 AM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2638024,SAMBIT KUMAR DAS,12-Nov-2024 02:45 PM,Rejected-Finance,The bidder has unsuccessful after transparency lottery,17-May-2025 02:14 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2641922,SUBHASHREE BEHERA,12-Nov-2024 02:45 PM,Accepted-AOC,The bidder won the transparency lottery among the bidder so that the work has been awarded to him,17-Dec-2025 03:59 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
