Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,06-Oct-2025 05:19 PM,08-Oct-2025 03:00 PM,techsummary_548068.pdf (1620.72 KB),ODISHA CONSTRUCTION CORPORATION LTD,2025_OCCL_116350_1,E-procurement Notice No.27/OCCL/2025-26(on-line),Bid identification No.OCCL-BGP/01/2025-26,1.0,3022317.0,Lalit Somani,INR,"18,993,234",1,3038601,Binay Ray,16-Aug-2025 04:42 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,Technical,Opened Successfully.,Pratap Chandra Chaudhury,25-Aug-2025 12:17 PM,,Finance,Opened Successfully.,Pratap Chandra Chaudhury,08-Oct-2025 04:11 PM,,BOQ Comparative Chart,MANAGING DIRECTOR OF OCC LTD.,Internal,,Pratap Chandra Chaudhury,15-Nov-2025 08:30 PM,finsummary_548068.pdf (2168.73 KB),01-Dec-2025,"INR 22,342,353",180.0,Sarat Chandra Ghadei,19-Dec-2025 02:10 PM,AOC_BGP_01.pdf (539.00 KB),AOC,AOC,02-Aug-2025 03:30 PM,25-Aug-2025 12:00 PM,02-Aug-2025 03:30 PM,22-Aug-2025 05:30 PM,02-Aug-2025 03:30 PM ,09-Aug-2025 03:30 PM ,02-Aug-2025 03:30 PM,22-Aug-2025 05:30 PM,08-Oct-2025 03:00 PM,"11,800",Nil,Nil,No,"2,23,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GST,PAN,EPF registration certificate, Valid OCC Ltd enlistment certificate and EMD (Mandatory) etc.",ODISHA CONSTRUCTION CORPORATION LTD,E-procurement Notice No.27/OCCL/2025-26(on-line),2025_OCCL_116350_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,MANAGING DIRECTOR OF OCC LTD.,"ODISHA CONSTRUCTION CORPORATION Ltd. UNIT - VIII, GOPABANDHUNAGAR,BBSR-751012",Bid identification No.OCCL-BGP/01/2025-26,"Improvement to Saradaguda Distributary from RD 0.500 KM to RD 2.800 KM of Satiguda Medium Irrigation Project, Malkanagiri.",AS PER DTCN. ,NA ,"2,23,42,353",Civil Works - Others,NA ,Tender,90.0,180.0,Malkangiri town in Malkangiri district.,764052.0,NA ,NA ,NA ,HEAD OFFICE OCCL,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2,3032423,HARA PRASAD NAYAK,11-Aug-2025 09:36 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.pdf,"Other documents as per DTCN. EMD is in BG Shape, Provide Original BG during technical bid opening.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3,3044562,Kiran Kumar Gouda,22-Aug-2025 02:28 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3022317,Lalit Somani,20-Aug-2025 07:11 PM,Accepted-AOC,L1 SUCCESSFUL BIDDER.,19-Dec-2025 02:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3042996,MRINAL KANTA SARKAR,22-Aug-2025 01:26 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3040544,NIMAI CHANDRA PAUL,19-Aug-2025 05:23 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3044536,Pramod Kumar Swain,22-Aug-2025 02:08 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3043831,Pratik Parida,22-Aug-2025 02:06 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3044366,PRIYABRATA ROUT,22-Aug-2025 01:11 PM,Rejected-Technical,Non - Responsive.,06-Oct-2025 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3043158,SRI SANJAY SARKAR,22-Aug-2025 03:30 PM,Rejected-Finance,UN-SUCCESSFUL BIDDER IN TRANSPARENT LOTTERY.,15-Nov-2025 08:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
