EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"5,000",Yes,fixed,,Nil,Nil,"CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||EE,Rengali Left Bank Canal Divn., Kamakhyanagar",e-Procurement Notice No.RLBCD-P1-04/2025-26,2025_CEBBS_118445_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",25-Sep-2025 10:00 AM,15-Oct-2025 11:00 AM,25-Sep-2025 10:00 AM,14-Oct-2025 05:00 PM,25-Sep-2025 10:00 AM ,04-Oct-2025 05:00 PM ,25-Sep-2025 10:00 AM,14-Oct-2025 05:00 PM,Superintending Engineer,"O/o SE, RLBC Division, Kamakhyanagar","4,000",Nil,Nil,No,RLBCD-05/ 2025-26 Repairing of well type syphone at RD 1400M and repairing of fall at RD 1150M and RD 1565M and desilting of RD 0M to RD 285M of Khairapasi Minor.,"Repairing of well type syphone, repairing of fall and desilting of canal",Please refer Tender documents. ,NA ,"5,00,095",Civil Works - Canal,NA ,Tender,90.0,30.0,Kamakhyanagar,759018.0,NA ,NA ,NA ,"O/o SE, RLBC Division, Kamakhyanagar",No ,No,AOC,SE RLBC Division,Internal,Estimator and DAO RLBC Division,Amiya Kumar Samal,15-Dec-2025 01:51 PM,finsummary_553545.pdf (602.41 KB),"CE and BM Brahmani Basin Samal||APD cum CCE RIP Samal||EE,Rengali Left Bank Canal Divn., Kamakhyanagar",2025_CEBBS_118445_2,e-Procurement Notice No.RLBCD-P1-04/2025-26,RLBCD-05/ 2025-26 Repairing of well type syphone at RD 1400M and repairing of fall at RD 1150M and RD 1565M and desilting of RD 0M to RD 285M of Khairapasi Minor.,1.0,3126251.0,PRAKASH CHANDRA BEHERA,INR,"425,130.47",Finance,Uploaded tender documents of all bidders have been downloaded successfully,Amiya Kumar Samal,15-Oct-2025 01:42 PM,,BOQ Comparative Chart,1,3127637,BABULI ROUT,14-Oct-2025 01:35 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,15-Dec-2025,"INR 425,130.47",30.0,Amiya Kumar Samal,15-Dec-2025 01:53 PM,RLBCD05.pdf (602.00 KB),Contract Awarded,"SE, RLBC Division Kamakhyanagar",Internal,"Estimator and DAO, RLBC Division Kamakhyanagar",Amiya Kumar Samal,22-Nov-2025 10:08 PM,techsummary_553545.pdf (298.07 KB),AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other documents as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3127372,Chadan Maharana,14-Oct-2025 11:56 AM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3123355,Goutam Rout,11-Oct-2025 04:10 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3103497,HIMANSU BHUSAN MAHUNTA,30-Sep-2025 01:04 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3127824,JYOTISMITA NAIK,14-Oct-2025 03:09 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3102816,MAMULI NAIK,29-Sep-2025 04:06 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3105522,MISIRA KUMAR DHAR,02-Oct-2025 01:47 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3127765,MITHUN KUMAR NAIK,14-Oct-2025 02:40 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3114940,NIRUPAMA ROUL,07-Oct-2025 08:12 PM,Rejected-Technical,Did not satisfy as per DTCN,22-Nov-2025 10:08 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3126251,PRAKASH CHANDRA BEHERA,14-Oct-2025 07:24 AM,Accepted-AOC,Won the lottery,15-Dec-2025 01:53 PM,,,,,,,,,,,,,,AOC
