Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:32 PM,techsummary_554846.pdf (204.08 KB),1.0,3143942.0,DAITARI SIA,INR,"5,450,040",Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_5,03/2025-26,Installation and Energisation of Nuagam - VIII and Rengalaguda - IV L.I.Project under Boriguma Block of Koraput District,1,3145875,ANUP POWER INFRASTRUCTURE,23-Oct-2025 03:20 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,08-Dec-2025,"INR 4,618,678",90.0,JUGAL TAKRI,08-Dec-2025 04:18 PM,AOCsummary.pdf (40.00 KB),Awarded,Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:05 PM,finance_554846.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:11 PM,finsummary_554846.pdf (204.08 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi","11,800",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"54,331",No,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,E E L I Division Koraput,E E L I Division Koraput,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,Installation and Energisation of Nuagam - VIII and Rengalaguda - IV L.I.Project under Boriguma Block of Koraput District,Installation and Energisation of Nuagam - VIII and Rengalaguda - IV L.I.Project under Boriguma Block of Koraput District,Please refer Tender documents. ,NA ,"54,33,100",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,AOC
,,,,,,,,,,,,,,,2,3139650,BADAL PATTNAIK,22-Oct-2025 07:56 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3135115,CHANDAN NAYAK,20-Oct-2025 12:01 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3143942,DAITARI SIA,22-Oct-2025 10:50 PM,Accepted-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3132638,M/S ENGINEERS ENTERPRISES,17-Oct-2025 03:51 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3136191,M/S MAHAMAYEE ENTERPRISES,19-Oct-2025 09:53 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3136376,M/S. PADHI ELECTRICALS,21-Oct-2025 11:32 AM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3132896,M/S SHANTI POWER AND CONSTRUCTION,18-Oct-2025 04:46 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3145772,"M/S SHRADHA ENTERPRISES, JEYPORE",23-Oct-2025 03:33 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3143730,M/S U.S. QUALITY ENGINEERING WORKS,22-Oct-2025 07:02 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3143666,Sambit Kumar Dash,23-Oct-2025 11:22 AM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3145154,SHREE JAGANNATH SOLAR AND ELECTRICAL INFRATECH,23-Oct-2025 12:38 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3144111,SUBHAM ELECTRICALS,22-Oct-2025 09:03 PM,Rejected-AOC,Awarded,08-Dec-2025 04:18 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
