Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:27 PM,finance_554868.pdf,BOQ Comparative Chart,1.0,3137689.0,SHREE JAGANNATH SOLAR AND ELECTRICAL INFRATECH,INR,"2,723,064",Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_16,03/2025-26,Installation and Energisation of Giuri - I L.I.Project under Jeypore Block of Koraput District,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:52 PM,finsummary_554868.pdf (204.08 KB),Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:08 PM,techsummary_554868.pdf (204.08 KB),26-Dec-2025,"INR 2,307,681",90.0,JUGAL TAKRI,26-Dec-2025 03:56 PM,AOCsummary.pdf (40.00 KB),Awaded,1,3146265,ANUP POWER INFRASTRUCTURE,23-Oct-2025 04:55 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,Installation and Energisation of Giuri - I L.I.Project under Jeypore Block of Koraput District,Installation and Energisation of Giuri - I L.I.Project under Jeypore Block of Koraput District,Please refer Tender documents. ,NA ,"27,14,600",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi","7,080",0.0,Nil,Nil,No,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,"27,146",No,percentage,1.0%,Nil,Nil,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,E E L I Division Koraput,E E L I Division Koraput,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3145583,ARUN KUMAR MAHALIK,23-Oct-2025 01:59 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3143860,BADAL PATTNAIK,22-Oct-2025 08:27 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3135062,CHANDAN NAYAK,20-Oct-2025 12:29 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3146054,HEMANT KUMAR NAYAK,23-Oct-2025 04:29 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3144669,IRFAN KHAN,23-Oct-2025 02:40 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3132495,M/S ENGINEERS ENTERPRISES,17-Oct-2025 02:21 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3141101,MS INSTTA POWER,23-Oct-2025 10:00 AM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3143868,M/S. MAA DURGA ENGINEERING ASSOCIATES,22-Oct-2025 07:41 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3136812,M/S MAHAMAYEE ENTERPRISES,21-Oct-2025 11:04 AM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3136492,M/S. PADHI ELECTRICALS,21-Oct-2025 12:38 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3143671,M/S U.S. QUALITY ENGINEERING WORKS,22-Oct-2025 07:30 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,3144621,PRASANTA KUMAR PANIGRAHY,23-Oct-2025 03:46 PM,Rejected-AOC,Awaded,26-Dec-2025 03:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
