Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
15-Dec-2025,"INR 1,506,848",120.0,Ramakanta Patra,16-Dec-2025 07:38 AM,Agreement.pdf (1097.00 KB),Owned the work through Transparent lottery held on 30.10.2025.,"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",2025_CCEBA_118894_16,SE-EDD-CKD-01/2025-26,"M.R to Residential building at P Colony, Chitrakonda CA, TDR and C type Quarter for the year 2025-26.",1.0,3121853.0,RAJKUMAR KRUSHNACHANDRA,INR,"1,280,971",1,3117777,ATULYA KUMAR MISHRA,11-Oct-2025 06:57 AM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,Finance,The tender has opened on 15.10.2025.,Ramakanta Patra,01-Dec-2025 05:22 AM,finance_554542.pdf,BOQ Comparative Chart,Er Ramakanta Patra,Internal,Er.A.K.Hembram and Vijayasingh Meena.,Ramakanta Patra,06-Dec-2025 06:21 PM,finsummary_554542.pdf (875.58 KB),Er Ramakanta Patra,Internal,Er.A.K.Hembram and Sri Vijayasingh Meena,Ramakanta Patra,02-Dec-2025 09:42 AM,techsummary_554542.pdf (241.80 KB),AOC,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, Contractor RC, GSTIN, PAN, Affidavit, NRC, Undertaking and any other documents as","15,100",Yes,fixed,,Nil,Nil,"CCE Potteru Irr.Project,Balimela||CCE Potteru Irr.Project||Earth Dam Divn. Chitrakonda",SE-EDD-CKD-01/2025-26,2025_CCEBA_118894_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,03-Oct-2025 10:00 AM,15-Oct-2025 10:30 AM,03-Oct-2025 10:00 AM,14-Oct-2025 05:00 PM,03-Oct-2025 10:00 AM ,10-Oct-2025 05:00 PM ,03-Oct-2025 10:00 AM,14-Oct-2025 05:00 PM,"M.R to Residential building at P Colony, Chitrakonda CA, TDR and C type Quarter for the year 2025-26.","Dismantaling brick or stone masonary removing old c.p. Earth work Sand filling C.C. 2.5 cm DPC, Brick work 12,, thick C.P., priming one coat and wall painting 2 coat. fiixing of M.S.door, fixing of tiles, GCI sheet fixing and M.S. pipe fitting",Please refer Tender documents. ,NA ,"15,06,848",Civil Works - Canal,NA ,Tender,90.0,120.0,Chitrakonda,764052.0,NA ,NA ,NA ,CHITRAKONDA,No ,No,Superintending Engineer,"Earth Dam Division, Chitrakonda, Dist. Malkangiri, Odisha, Pin Code 764052.",AOC
,,,,,,,,,,,,,,,,2,3124923,BALARAM PADIARY,13-Oct-2025 07:33 AM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,3124969,BIBEK KUMAR DEURI,13-Oct-2025 11:43 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,3124289,DILLIP KUMAR BEHURA,12-Oct-2025 04:07 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,3125262,Mrutyunjay Choudhury,14-Oct-2025 02:23 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,3124646,M/S ASHOK KUMAR PATRA,12-Oct-2025 08:11 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,3120703,PAPU BACHHAR,11-Oct-2025 03:15 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,3111254,RABIN MANDAL,05-Oct-2025 08:20 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,3123246,RADHAKANTA MANDAL,11-Oct-2025 02:34 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,3127674,RAGHUNATH SWAIN,14-Oct-2025 01:59 PM,Rejected-Finance,Unsuccessful in transparent lottery,06-Dec-2025 06:21 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
