Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
09-Sep-2025 11:00 AM,24-Sep-2025 11:30 AM,09-Sep-2025 11:00 AM,23-Sep-2025 04:00 PM,NA ,NA ,09-Sep-2025 11:00 AM,23-Sep-2025 04:00 PM,01-Nov-2025 11:45 AM,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 09 / 2025-26,2025_EICCL_117799_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of 6 Nos. D Type staff quarter of ARCS Office Keonjhar at Parkline, Keonjhar","Construction of 6 Nos. D Type staff quarter of ARCS Office Keonjhar at Parkline, Keonjhar",Please refer Tender Documents ,NA ,"2,67,79,557",Civil Works - Buildings,NA ,Tender,90.0,270.0,Keonjhar,758001.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,"10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit","2,67,800",Yes,fixed,,Nil,Nil,AOC,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_117799_2,CCEKC - 09 / 2025-26,"Construction of 6 Nos. D Type staff quarter of ARCS Office Keonjhar at Parkline, Keonjhar",Technical,Bid opening summary,Santosh Kumar Behera,24-Sep-2025 01:18 PM,technical_551888.pdf,Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,21-Dec-2025 06:24 PM,finsummary_551888.pdf (94.13 KB),1.0,3091986.0,RAKESH MAHAPATRA,INR,"22,765,301",1,3084233,BHUYAN MAHAPRASAD,16-Sep-2025 06:44 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 06:24 PM,21-Dec-2025,"INR 22,765,301",270.0,Santosh Kumar Behera,21-Dec-2025 06:32 PM,AOC_DTypeQtrARCSOffice.pdf (2225.00 KB),1st Lowest Bidder Winner of Lottery,Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,28-Oct-2025 07:26 PM,01-Nov-2025 11:45 AM,techsummary_551888.pdf (1068.16 KB),Finance,Bid opening summary,Santosh Kumar Behera,01-Nov-2025 12:15 PM,finance_551888.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,3092454,DEBABRATA BARAL,21-Sep-2025 04:46 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3097032,Dipankar Patra,23-Sep-2025 03:42 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3095645,HIMANSU SEKHAR PRADHAN,22-Sep-2025 06:12 PM,Rejected-Technical,As per decision of tender evaluation committee.,28-Oct-2025 07:26 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3086585,JAY DURGA BUILDCON PRIVATE LIMITED,23-Sep-2025 11:58 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,3097013,NITIN NAYAK,23-Sep-2025 03:28 PM,Rejected-Finance,2nd Lowest Bidder,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,3096653,PABITRA RANJAN SAHOO,23-Sep-2025 01:00 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,3091986,RAKESH MAHAPATRA,21-Sep-2025 02:31 PM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,21-Dec-2025 06:32 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,3093054,RP INFRASTRUCTURE,23-Sep-2025 01:09 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,3076867,SARASWAT MISHRA,11-Sep-2025 08:20 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,21-Dec-2025 06:24 PM,,,,,,,,,,,,,,,,,,,,,AOC
