S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3078343.0,KAMAL LOCHAN NAIK,INR,"22,752,629",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,08-Dec-2025 03:54 PM,finsummary_550935.pdf (363.91 KB),Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_117544_8,11/OPHWC/2025-26,Constn. of 8 F type Staff Qtrs. at Patna Fire Station in Keonjhar District,Technical,eight bidder have particiapted,MONALISHA PADHY,17-Sep-2025 12:09 PM,,Finance,financial bid opened,MONALISHA PADHY,17-Oct-2025 11:28 AM,,BOQ Comparative Chart,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,16-Oct-2025 05:57 PM,17-Oct-2025 10:30 AM,techsummary_550935.pdf (176.00 KB),1,3083701,BANKA BIHARI MALLICK,16-Sep-2025 02:29 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,16-Oct-2025 05:57 PM,08-Dec-2025,"INR 22,752,629",300.0,Bikram Keshari Malla,08-Dec-2025 03:58 PM,PATNA.pdf (542.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 05.12.2025,AOC,Constn. of 8 F type Staff Qtrs. at Patna Fire Station in Keonjhar District,Building Work,Please refer Tender documents. ,NA ,"2,52,77,890",Civil Works - Buildings,NA ,Tender,90.0,300.0,Keonjhar,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,02-Sep-2025 05:00 PM,17-Sep-2025 10:30 AM,02-Sep-2025 05:00 PM,16-Sep-2025 05:00 PM,NA ,NA ,02-Sep-2025 05:00 PM,16-Sep-2025 05:00 PM,17-Oct-2025 10:30 AM,1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,11/OPHWC/2025-26,2025_OSPHW_117544_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","2,52,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3083774,BINAYA BHUSAN MAHUNTA,16-Sep-2025 03:09 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK,08-Dec-2025 03:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3080529,BISHNU PRASAD SETHY,15-Sep-2025 10:55 AM,Rejected-Technical,non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,16-Oct-2025 05:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3082965,JAGADISH BEHERA,16-Sep-2025 09:51 AM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,16-Oct-2025 05:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3078343,KAMAL LOCHAN NAIK,13-Sep-2025 12:05 PM,Accepted-AOC,QUALIFIED BIDDER,08-Dec-2025 03:58 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3083617,MANAMOHAN BARAL,16-Sep-2025 03:41 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK,08-Dec-2025 03:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3071968,RATNAKAR NAIK,09-Sep-2025 02:45 PM,Rejected-Finance,DUE TO L1 BIDDER BUT UNSUCCESSFUL IN TRANSPARENT LOTTERY SYSTEM,08-Dec-2025 03:54 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3082995,Sanjeeb Sahu,16-Sep-2025 03:03 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,16-Oct-2025 05:57 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
