S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN, Non relation certificate, others as per DTCN",Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD Online 02 2025 26,2025_CERWI_119333_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Daleiput - Abarada_Road_SDBC, Pot hole repair_0/000 to 3/000","Daleiput - Abarada_Road_SDBC, Pot hole repair_0/000 to 3/000",NA ,NA ,"47,85,116",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,"48,000",Yes,fixed,,Nil,Nil,11-Oct-2025 11:00 AM,23-Oct-2025 11:00 AM,11-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,11-Oct-2025 11:00 AM ,20-Oct-2025 05:00 PM ,11-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119333_1,SERWSBD Online 02 2025 26,"Daleiput - Abarada_Road_SDBC, Pot hole repair_0/000 to 3/000",Superintending Engineer,Internal,,Avijit Barik,10-Nov-2025 05:25 PM,finsummary_555431.pdf (423.44 KB),Finance,Bid opening,Avijit Barik,03-Nov-2025 07:00 PM,finance_555431.pdf,BOQ Comparative Chart,1.0,3140093.0,BIKASH KUMAR PANDA,INR,"4,067,826",1,3143318,ANAM BADANAIK,22-Oct-2025 04:24 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,13-Nov-2025,"INR 4,067,826",60.0,Avijit Barik,05-Dec-2025 06:38 PM,wodaleiput.pdf (717.00 KB),Superintending Engineer,Internal,,Avijit Barik,03-Nov-2025 07:03 PM,techsummary_555431.pdf (561.50 KB),AOC
2.0,ICICI NEFT/RTGS,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3140828,ASHOK KUMAR PRADHAN,21-Oct-2025 07:28 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3135273,ASUTOSH PATRA,19-Oct-2025 05:16 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3131698,Banoj kumar patra,17-Oct-2025 07:04 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3140631,Bharat Mirgan,21-Oct-2025 06:47 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3140093,BIKASH KUMAR PANDA,22-Oct-2025 02:51 PM,Accepted-AOC,Qualiifed,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3141321,Biren Samantaray,21-Oct-2025 10:08 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3131793,Chaitanya Badanaik,16-Oct-2025 10:48 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3143405,CHINTAMANI BISOI,22-Oct-2025 04:51 PM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3141662,DAMODAR MALI,22-Oct-2025 10:08 AM,Rejected-AOC,Not qualified,05-Dec-2025 06:38 PM,,,,,,,,,,,,,AOC
