Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Tender Open,Bikram Dev Pattanaik,23-Dec-2025 01:30 PM,finance_560127.pdf,BOQ Comparative Chart,1.0,3191698.0,BHESAJA KUMAR PATTA,INR,"1,765,589.95",Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Bamra WL,2025_DFOBW_120364_1,1F-BMB/04/Dt.28.10.25 for 25-26,Construction of Anti Poaching Barrack at Bramhanidei of Kuchinda WL Range under Bamra WL Division,"Sri Bikram Dev Pattanaik, D.F.O., Bamra WL Division",Internal,,Bikram Dev Pattanaik,23-Dec-2025 02:06 PM,finsummary_560127.pdf (483.55 KB),"Sri Bikram Dev Pattanaik, D.F.O., Bamra WL Division",Internal,,Bikram Dev Pattanaik,23-Dec-2025 01:53 PM,techsummary_560127.pdf (483.55 KB),1,3191698,BHESAJA KUMAR PATTA,06-Nov-2025 10:15 PM,Accepted-AOC,Selected in the Lottery,23-Dec-2025 05:25 PM,23-Dec-2025,"INR 1,765,590",90.0,Bikram Dev Pattanaik,23-Dec-2025 05:25 PM,WorkorderAntiPoachingBarrackatBramhanidei.pdf (456.00 KB),Work Order,AOC,"20,769",No,percentage,1.0%,Nil,Nil,Forest Environment and Climate Change Department||RCCF Sambalpur||DFO Bamra WL,1F-BMB/04/Dt.28.10.25 for 25-26,2025_DFOBW_120364_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,30-Oct-2025 06:00 PM,11-Nov-2025 11:30 AM,30-Oct-2025 06:00 PM,10-Nov-2025 05:00 PM,30-Oct-2025 06:00 PM ,10-Nov-2025 05:00 PM ,30-Oct-2025 06:00 PM,10-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, Valid RC, Affidavit and other document as per DTCN.","6,000",Nil,Nil,No,DFO Bamra WL Division,O/o the DFO Bamra WL Division,Construction of Anti Poaching Barrack at Bramhanidei of Kuchinda WL Range under Bamra WL Division,Building Works,Please refer Tender documents. ,NA ,"20,76,920",Civil Works - Buildings,NA ,Tender,90.0,90.0,Bramhanidei,768221.0,NA ,NA ,NA ,O/o the DFO Bamra WL Division,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3208280,CHUDAMANI JAYAPURIA,10-Nov-2025 03:56 PM,Rejected-AOC,Not Selected in the Lottery,23-Dec-2025 05:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3196726,MANOJ DEV,08-Nov-2025 12:28 PM,Rejected-AOC,Not Selected in the Lottery,23-Dec-2025 05:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3203795,MANTU KUMAR NAYAK,09-Nov-2025 10:55 PM,Rejected-Finance,Tender Committee selected L1 Bidder only,23-Dec-2025 02:06 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3195737,SOMANATH SAHU,09-Nov-2025 01:44 AM,Rejected-AOC,Not Selected in the Lottery,23-Dec-2025 05:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
