Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
Municipal Bodies||Jharsuguda Municipality,EO/JMC/ 08/2023-24,2023_ORULB_98279_105,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,18-Dec-2023 06:00 PM,02-Jan-2024 03:30 PM,18-Dec-2023 06:00 PM,30-Dec-2023 03:00 PM,NA ,NA ,18-Dec-2023 06:00 PM,30-Dec-2023 03:00 PM,executive officer,Jharsuguda,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,"9,000",Yes,fixed,,Nil,Nil,Construction of CC Road from at Bhainsalpada in W. No. -12.,cc road,"Scan copy of regd cert, PAN, GST clearance cert., experience cert., and other documents as per DTCN ",NA ,,Civil Works - Others,NA ,Tender,75.0,60.0,Bhansalpada,768201.0,NA ,NA ,NA ,jharsauguda municipality,No ,No,AOC,manasranjanmallick,Internal,"simanchal das, susanta patel",Manas Ranjan Mallick,08-Dec-2025 04:29 PM,techsummary_479327.pdf (187.96 KB),manasranjanmallick,Internal,"simanchal das, susanta patel",Manas Ranjan Mallick,08-Dec-2025 04:31 PM,finsummary_479327.pdf (187.96 KB),Finance,OK,Subash Chandra Pradhan,31-Jan-2024 11:43 AM,finance_479327.pdf,BOQ Comparative Chart,08-Dec-2025,"INR 723,853.742",60.0,Manas Ranjan Mallick,08-Dec-2025 04:39 PM,105.pdf (1289.00 KB),accepted,1,2371051,Birendra Munda,29-Dec-2023 04:14 PM,Rejected-AOC,rejected,08-Dec-2025 04:40 PM,1.0,2369762.0,RADHA BALHABA NAIK,INR,"723,853.742",Municipal Bodies||Jharsuguda Municipality,2023_ORULB_98279_105,EO/JMC/ 08/2023-24,Construction of CC Road from at Bhainsalpada in W. No. -12.,AOC
,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2369762,RADHA BALHABA NAIK,27-Dec-2023 09:29 PM,Accepted-AOC,accepted,08-Dec-2025 04:40 PM,,,,,,,,,,AOC
