S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage
1.0,3141311.0,DURMAN MUDULI (S.T),INR,"5,042,010",Superintending Engineer,Internal,,Avijit Barik,02-Dec-2025 12:48 PM,finsummary_555432.pdf (409.43 KB),Technical,bid opening,Avijit Barik,27-Oct-2025 06:33 PM,technical_555432.pdf,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,2025_CERWI_119334_1,SERWSBD ONLINE 05-2025-26,"Simageda to Kartalmaudi_Road_SDBC, shoulder concrete at curves and drain cutting_0/000 to 4/000",Finance,Financial bid,Avijit Barik,02-Dec-2025 11:42 AM,finance_555432.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,,Avijit Barik,27-Oct-2025 06:36 PM,30-Oct-2025 11:00 AM,techsummary_555432.pdf (1324.57 KB),05-Dec-2025,"INR 5,042,010",60.0,Avijit Barik,10-Dec-2025 06:38 PM,Worksimageda.pdf (734.00 KB),1,3140217,AJBAL BHATRA,21-Oct-2025 06:51 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Bid cost, EMD, Registration certificate, GST, PAN","Simageda to Kartalmaudi_Road_SDBC, shoulder concrete at curves and drain cutting_0/000 to 4/000","Simageda to Kartalmaudi_Road_SDBC, shoulder concrete at curves and drain cutting_0/000 to 4/000",NA ,NA ,"59,31,079",Civil Works - Roads,NA ,Tender,90.0,60.0,Sunabeda,763001.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNABEDA",No ,No,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-SUNABEDA,SERWSBD ONLINE 05-2025-26,2025_CERWI_119334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"60,000",Yes,fixed,,Nil,Nil,11-Oct-2025 11:00 AM,23-Oct-2025 11:00 AM,11-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,11-Oct-2025 11:00 AM ,20-Oct-2025 02:00 PM ,11-Oct-2025 11:00 AM,22-Oct-2025 05:00 PM,30-Oct-2025 11:00 AM,Superintending Engineer,"RURAL WORKS DIVISION, SUNABEDA",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3140576,ASHOK KUMAR PRADHAN,21-Oct-2025 06:17 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,2.0,Finance,.xls,"Affidavit regarding correctness of information, no relation certificate as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3140055,BIKASH KUMAR PANDA,22-Oct-2025 02:41 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3140176,CHINTAMANI BISOI,21-Oct-2025 04:04 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3141311,DURMAN MUDULI (S.T),21-Oct-2025 10:06 PM,Accepted-AOC,Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3142765,NARAYAN TANTI,22-Oct-2025 04:01 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3134830,PRATAP SINGH,19-Oct-2025 10:27 AM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3143112,PURNA KUMAR SAHU,22-Oct-2025 03:23 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3137455,RAMANATH ACHARYA,21-Oct-2025 07:40 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3134260,RANJAN KUMAR PRADHAN,22-Oct-2025 01:43 PM,Rejected-AOC,Not Qualified,10-Dec-2025 06:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
