EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"9,800",Yes,fixed,,Nil,Nil,Construction of trough both in U/S and D/S of NH crossing at RD 3.118km of Sasahandi Minor,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"9,75,557",Civil Works - Canal,NA ,Tender,90.0,60.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput",No ,No,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SEUKID-02/2025-26 (SL22),2025_UPIDB_118257_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",Nil,Nil,No,20-Sep-2025 11:00 AM,04-Oct-2025 11:00 AM,20-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,NA ,NA ,20-Sep-2025 11:00 AM,03-Oct-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, GST Registration Certificate, GSTIN, PAN and Contractor RC, No Relation Certificate, etc.","SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056",AOC,10-Nov-2025,"INR 975,557",60.0,Narendra Kumar Sitha,27-Dec-2025 11:35 AM,WO22.pdf (222.00 KB),Work Order,1,3106735,AKASH BISSOI,03-Oct-2025 12:46 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,"SE,UKID,Borigumma",Internal,"Divisional Accountant, Estimator",Narendra Kumar Sitha,17-Oct-2025 01:30 PM,techsummary_553082.pdf (215.50 KB),"SE,UKID,Borigumma",Internal,"Divisional Accountant, Estimator",Narendra Kumar Sitha,06-Nov-2025 10:54 PM,finsummary_553082.pdf (283.06 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2025_UPIDB_118257_1,SEUKID-02/2025-26 (SL22),Construction of trough both in U/S and D/S of NH crossing at RD 3.118km of Sasahandi Minor,1.0,3107706.0,BIJAYA KUMAR MADALA,INR,"829,321",Finance,Bid opening summary,Narendra Kumar Sitha,15-Oct-2025 10:38 PM,finance_553082.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Tender cost, EMD, undertaking, Check list, and any other documents as per DTCN.",,,AOC,,,,,,,,2,3105163,ASHOK MOHANTY,01-Oct-2025 10:58 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,AOC,,,,,,,,3,3107706,BIJAYA KUMAR MADALA,03-Oct-2025 04:37 PM,Accepted-AOC,Qualified in transparent lottery system.,27-Dec-2025 11:35 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3106971,BIKASH PATNAIK,03-Oct-2025 01:08 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3104913,DEBA RANJAN PATRA,01-Oct-2025 07:34 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3103208,DINESH PATNAIK,30-Sep-2025 10:19 AM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3105146,DURYADHAN MALI,01-Oct-2025 10:49 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3103824,KESHARI MIRGAN,30-Sep-2025 07:27 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3107100,MANORANJAN BARAD,03-Oct-2025 01:32 PM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3106546,PADMAN BISOI,03-Oct-2025 11:14 AM,Rejected-Finance,Disqualified in transparent lottery system.,06-Nov-2025 10:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
