Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Finance,50 bidders bid the tender,Gitanjali Chakra,19-Nov-2025 05:04 PM,,BOQ Comparative Chart,1.0,3179219.0,DURYODHAN SAHOO,INR,"2,796,348",CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,2025_CERWI_120370_1,06/EE/RW/AND/2025-26,Periodical maintenance of NH-215 to Marshapal Road SDBC from 0/000km to 2/200km for the year 2025-26,Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,20-Dec-2025 09:42 PM,finsummary_560148.pdf (219.92 KB),Er. Tusar Kanti Behera,Internal,,Tusar Kanti Behera,09-Dec-2025 08:33 PM,techsummary_560148.pdf (219.93 KB),1,3181421,ABHILIPSA PRIYADARSINI JENA,04-Nov-2025 04:23 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,20-Dec-2025,"INR 3,289,434",45.0,Tusar Kanti Behera,22-Dec-2025 01:53 PM,AOCMarshapal.pdf (193.00 KB),AOC,CE RW I||RWCIRCLE-KEONJHAR||RWDIVISION-ANANDAPUR,06/EE/RW/AND/2025-26,2025_CERWI_120370_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, RC, GSTIN, PAN, Affidavits etc and all other documents as per DTCN",Divisional Officer,"RURAL WORKS DIVISION, ANANDPUR",Periodical maintenance of NH-215 to Marshapal Road SDBC from 0/000km to 2/200km for the year 2025-26,Periodical maintenance of NH-215 to Marshapal Road SDBC from 0/000km to 2/200km for the year 2025-26,Please refer tender documents ,NA ,"32,89,434",Civil Works - Roads,NA ,Tender,90.0,45.0,Salapada,758020.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, ANANDPUR",No ,No,"6,000",0.0,Nil,Nil,No,30-Oct-2025 06:30 PM,07-Nov-2025 11:30 AM,30-Oct-2025 06:30 PM,06-Nov-2025 05:00 PM,30-Oct-2025 06:30 PM ,04-Nov-2025 05:00 PM ,30-Oct-2025 06:30 PM,06-Nov-2025 05:00 PM,"32,894",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3189073,ADAITA JENA,06-Nov-2025 03:09 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3181886,ARATI JENA,04-Nov-2025 06:41 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3183040,ASHIS KUMAR ROUT,05-Nov-2025 09:07 AM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3182759,BANANI PADHIHARI,04-Nov-2025 10:34 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3179375,BHIMASEN SETHI,04-Nov-2025 01:50 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3182717,BIJAYANANDA SAHOO,04-Nov-2025 11:54 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3189698,BIMAL KUMAR ROUT,06-Nov-2025 03:47 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3186065,BINAYA SIBASUNDAR DHAL,05-Nov-2025 07:56 PM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3183069,CHANDAN KUMAR BEHERA,05-Nov-2025 09:35 AM,Rejected-AOC,.,22-Dec-2025 01:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
