Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PHEO||PH Circle Bhawanipatna||PH Division Balangir,ACEPHBGR 06/2025-26,2025_PHEO_118600_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,25-Sep-2025 01:30 PM,10-Oct-2025 11:30 AM,25-Sep-2025 01:30 PM,09-Oct-2025 05:00 PM,25-Sep-2025 01:30 PM ,06-Oct-2025 05:00 PM ,25-Sep-2025 01:30 PM,09-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,"83,344",Yes,fixed,,Nil,Nil,"10,000",0.0,Nil,Nil,No,Procurement of DI pipe for the work Construction of ESR at different zones in connection with the work Augmentation of water supply to Tusura town.,Procurement of DI pipe for the work Construction of ESR at different zones in connection with the work Augmentation of water supply to Tusura town.,Please refer DTCN ,NA ,"41,67,219",Civil Works - Water Works,NA ,Tender,120.0,60.0,Tusura NAC,767030.0,NA ,NA ,NA ,"Additional Chief Engineer, PH Division, Balangir",No ,No,Additional Chief Engineer,"Additional Chief Engineer, PH Division, Balangir",1.0,Fee/PreQual/Technical,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor Registration certificate, Experience certificate etc.",1.0,Period of Completion,Other,,AOC,1.0,3106954.0,Rashmi Metaliks Limited,INR,"2,909,716",PHEO||PH Circle Bhawanipatna||PH Division Balangir,2025_PHEO_118600_3,ACEPHBGR 06/2025-26,Procurement of DI pipe for the work Construction of ESR at different zones in connection with the work Augmentation of water supply to Tusura town.,Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,22-Oct-2025 12:37 PM,22-Oct-2025 05:00 PM,techsummary_553942.pdf (445.68 KB),12-Dec-2025,"INR 2,909,716",60.0,Indrajit Sahu,12-Dec-2025 01:16 PM,wo.pdf (2203.00 KB),L1 bidder has responded,Additional Chief Engineer,Internal,"Additional Chief Engineer, Divisional Accounts Officer, SE Estimator",Indrajit Sahu,12-Dec-2025 01:13 PM,finsummary_553942.pdf (665.38 KB),Technical,Opening Summary,Indrajit Sahu,10-Oct-2025 12:13 PM,technical_553942.pdf,1,3105342,Electrosteel Castings Limited,08-Oct-2025 05:53 PM,Rejected-Finance,ok,12-Dec-2025 01:13 PM,Finance,Financial Bid has opened,Indrajit Sahu,22-Oct-2025 05:18 PM,finance_553942.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3108735,Jai Balaji Industries Limited,09-Oct-2025 04:17 PM,Rejected-Finance,ok,12-Dec-2025 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3118926,KEJRIWAL CASTINGS LTD,09-Oct-2025 04:08 PM,Rejected-Finance,ok,12-Dec-2025 01:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3106954,Rashmi Metaliks Limited,09-Oct-2025 11:34 AM,Accepted-AOC,Awarded as per OPWD code.,12-Dec-2025 01:16 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3102838,Welspun DI Pipes Limited,09-Oct-2025 12:03 PM,Rejected-Finance,ok,12-Dec-2025 01:13 PM,,,,,,,AOC
