Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,Bid opening Summary,Sarita Kumari Charchi,17-Dec-2025 12:20 PM,finance_553429.pdf,BOQ Comparative Chart,1.0,3111522.0,PRADESHI SETHY,INR,"428,341",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,2025_CERWI_118393_1,Online / 04/SERWD-1/2025-26,S/R to Homeopathic Dispensary Building at Kendubadi for the year 2025-26,"Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"Divisional Accountant, J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Sarita Kumari Charchi,17-Dec-2025 12:42 PM,finsummary_553429.pdf (764.79 KB),"Executive Engineer, R.W. Division No.-I, Ganjam, Berhampur",Internal,"Divisional Accountant, J.E. (Estr) of R.W. Division No.-I, Ganjam, Berhampur",Sarita Kumari Charchi,17-Dec-2025 12:36 PM,techsummary_553429.pdf (621.11 KB),17-Dec-2025,"INR 428,341",30.0,Sarita Kumari Charchi,17-Dec-2025 12:46 PM,AOC1.pdf (356.00 KB),33P1 / 2025-26,1,3114689,ABANI KUMAR PATRA,07-Oct-2025 06:09 PM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,S/R to Homeopathic Dispensary Building at Kendubadi for the year 2025-26,S/R to Homeopathic Dispensary Building at Kendubadi for the year 2025-26,NA ,NA ,"5,04,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Ganjam,760010.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO-I, GANJAM, BERHAMPUR",No ,No,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,Online / 04/SERWD-1/2025-26,2025_CERWI_118393_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"E.E., R.W. Division No.-I, Ganjam, Berhampur","O/o the S.E., R.W. Division No.-I, In-front of De-paul School, Engineering School Road, Ganjam, Berhampur, 760010","5,040",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, E.M.D., PAN, GSTIN, Affidavit, Contractor R.C. and all other documents as per DTCN",26-Sep-2025 11:00 AM,09-Oct-2025 11:30 AM,26-Sep-2025 11:00 AM,08-Oct-2025 06:00 PM,26-Sep-2025 11:00 AM ,06-Oct-2025 03:00 PM ,26-Sep-2025 11:00 AM,08-Oct-2025 06:00 PM,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3116330,ANILA BARADA,08-Oct-2025 01:34 PM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3116687,ANIL KUMAR MAHARANA,08-Oct-2025 05:36 PM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3106608,BAHAN DAS,03-Oct-2025 11:33 AM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3116476,CHANDAN PRADHAN,08-Oct-2025 02:04 PM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3110813,G PANDA PATRA,05-Oct-2025 01:58 PM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3111876,Kongres Das,06-Oct-2025 11:19 AM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3109593,MAMATA KUMARI SATAPATHY,04-Oct-2025 03:38 PM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3116987,M/S BASISTHA MAJHI,08-Oct-2025 04:17 PM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3111891,PADMA CHARAN PANIGRAHI,06-Oct-2025 11:31 AM,Rejected-AOC,After drawl of transparent lottery,17-Dec-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
