S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,"EE RW (PH) DIVISION,BBSR","SE RW (PH) DIVISION,BBSR BEHIND ESPLANDE MALL,RASULGARH,751010","4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-15/2025-26,2025_CERWI_114506_31,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Jun-2025 11:00 AM,04-Jul-2025 11:00 AM,24-Jun-2025 11:00 AM,03-Jul-2025 05:00 PM,NA ,NA ,24-Jun-2025 11:00 AM,03-Jul-2025 05:00 PM,"PH works(SI,SD AND WS) to Sub centre building at Chikalbahal of Balangir block in Balangir Dist in the F.Y.-2023-24","PH works(SI,SD AND WS) to Sub centre building at Chikalbahal of Balangir block in Balangir Dist in the F.Y.-2023-24",Please refer Tender documents. ,NA ,"7,05,005",Civil Works - Buildings,NA ,Tender,90.0,NA ,Chikalbahal,767029.0,NA ,NA ,NA ,"O/O EE RW (PH) DIVISION ,BBSR",No ,No,"7,100",Yes,fixed,,Nil,Nil,AOC,Executive Engineer,Internal,,Anil Kumar Das,18-Jul-2025 01:29 PM,techsummary_543822.pdf (355.93 KB),Executive Engineer,Internal,,Anil Kumar Das,23-Dec-2025 11:46 AM,finsummary_543822.pdf (62.69 KB),Finance,COMPARATIVE STATEMENT,Anil Kumar Das,07-Jul-2025 12:01 PM,finance_543822.pdf,BOQ Comparative Chart,23-Dec-2025,"INR 599,324",90.0,Anil Kumar Das,24-Dec-2025 11:54 AM,9222.pdf (320.00 KB),1,2987887,ASHOK KUMAR JOSHI,03-Jul-2025 03:42 PM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,1.0,2987335.0,SROTASWINI BEHERA,INR,"599,324",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_114506_31,EERWPH-15/2025-26,"PH works(SI,SD AND WS) to Sub centre building at Chikalbahal of Balangir block in Balangir Dist in the F.Y.-2023-24",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2982574,DHIRAJ KUMAR AGRAWAL,29-Jun-2025 11:23 AM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2984940,GOURI MEHER,01-Jul-2025 11:50 AM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2985402,KISHOR CHANDRA RAULA,01-Jul-2025 03:50 PM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2986274,LOKANATH MAJHI,02-Jul-2025 07:01 PM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,2982278,PRADEEP KUMAR SAHOO,30-Jun-2025 04:46 PM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,2985710,RAHUL KUMAR SAHU,01-Jul-2025 07:21 PM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,2987233,RAJENDRA PANDA,03-Jul-2025 02:47 PM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,2987776,Rasmanjali Sa,03-Jul-2025 02:21 PM,Rejected-Finance,Not Qualified in Transparency lottery,23-Dec-2025 11:46 AM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,2987335,SROTASWINI BEHERA,03-Jul-2025 10:52 AM,Accepted-AOC,Qualified in Transparency lottery,24-Dec-2025 11:54 AM,,,,,,,,,,AOC
