Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,BIDS OF ALL THE TWO BIDDERS HAVE BEEN ADMITTED,Abhishek Panda,03-Jun-2025 10:24 AM,,BOQ Comparative Chart,17-Dec-2025,"INR 1,698,900",90.0,Bibhuti Tripathy,17-Dec-2025 12:31 PM,53.pdf (733.00 KB),Contract value includes GST.,1,2939431,M/s.Ashirbad jena,30-May-2025 06:17 PM,Accepted-AOC,Contract value includes GST.,17-Dec-2025 12:31 PM,Municipal Bodies||Paradeep Municipality,2025_ORULB_113460_53,EO/PDPM/W_1/2025-26,"Construction of Paver Block Road nad Drain from Pabitra Samal house to Anshuma Mishra house, Tarenigada in ward no 05",1.0,2939431.0,M/s.Ashirbad jena,INR,"1,698,900",Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,17-Dec-2025 12:28 PM,techsummary_539900.pdf (733.41 KB),Basanta Biswal,Internal,"Chairperson, Executive Officer, Municipal Engineer, JE, Head Asst. and Accountant",Bibhuti Tripathy,17-Dec-2025 12:29 PM,finsummary_539900.pdf (733.41 KB),AOC,1,ICICI BANK,19-May-2025 10:00 AM,02-Jun-2025 11:00 AM,19-May-2025 10:00 AM,31-May-2025 05:00 PM,19-May-2025 10:00 AM ,31-May-2025 05:00 PM ,19-May-2025 10:00 AM,31-May-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents,"6,000",0.0,Nil,Nil,No,"EO, PARADEEP MUNICIPALITY",PARADEEP MUNICIPALITY,"Construction of Paver Block Road nad Drain from Pabitra Samal house to Anshuma Mishra house, Tarenigada in ward no 05","Construction of Paver Block Road nad Drain from Pabitra Samal house to Anshuma Mishra house, Tarenigada in ward no 05",Please refer Tender documents. ,NA ,"15,99,560",Civil Works - Others,NA ,Tender,120.0,90.0,PARADEEP MUNICIPALITY,754142.0,NA ,NA ,NA ,PARADEEP MUNICIPALITY,No ,No,"15,996",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Paradeep Municipality,EO/PDPM/W_1/2025-26,2025_ORULB_113460_53,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,2941096,SINGRAY HEMBRAM,31-May-2025 08:41 AM,Rejected-Finance,L2,17-Dec-2025 12:29 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
