S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3035396.0,Bhagaban Nath,INR,"53,580,502.32",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_116296_1,CCEKC - 06 / 2025-26,Construction of HL Bridge over river Baitarani at Ch. 12.100 km on Suakathi - Dubuna - Kalamati road in the District of Keonjhar,Technical,Bid opening summary,Santosh Kumar Behera,15-Sep-2025 07:05 PM,technical_547927.pdf,Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,03-Nov-2025 05:29 PM,finsummary_547927.pdf (100.97 KB),Santosh Kumar Behera,Internal,SE Keonjhar R and B Division DAO-I Keonjhar R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,20-Sep-2025 11:53 AM,22-Sep-2025 11:30 AM,techsummary_547927.pdf (2304.35 KB),1.0,Tender Revocation,Revoked,15-Sep-2025 06:55 PM,RevokedOrder.pdf ,220.77,Technical Opening,Finance,Bid opening summary,Santosh Kumar Behera,22-Sep-2025 12:58 PM,finance_547927.pdf,BOQ Comparative Chart,23-Dec-2025,"INR 53,580,502",720.0,Santosh Kumar Behera,23-Dec-2025 05:07 PM,AOC.pdf (1760.00 KB),1st Lowest Bidder,1,3043577,ALINA SAMAL,21-Aug-2025 03:47 PM,Rejected-Finance,3rd Lowest Bidder,03-Nov-2025 05:29 PM,AOC,1.0,ICICI BANK,31-Jul-2025 04:30 PM,22-Aug-2025 11:30 AM,31-Jul-2025 04:30 PM,21-Aug-2025 04:00 PM,NA ,NA ,31-Jul-2025 04:30 PM,21-Aug-2025 04:00 PM,22-Sep-2025 11:30 AM,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001",Construction of HL Bridge over river Baitarani at Ch. 12.100 km on Suakathi - Dubuna - Kalamati road in the District of Keonjhar,Construction of HL Bridge over river Baitarani at Ch. 12.100 km on Suakathi - Dubuna - Kalamati road in the District of Keonjhar,Please refer Tender Documents ,NA ,"6,03,52,000",Civil Works - Bridges,NA ,Tender,90.0,720.0,Keonjhar,758001.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,1.0,1st Corrigendum,Date,,"6,03,600",Yes,fixed,,Nil,Nil,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 06 / 2025-26,2025_EICCL_116296_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit.","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3041273,AMBIKA PRASAD SINGH,21-Aug-2025 09:18 AM,Rejected-Technical,As per decision of technical evaluation committee,20-Sep-2025 11:53 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3035825,ASISHA KUMAR SAMAL,14-Aug-2025 01:24 PM,Rejected-AOC,2nd Lowest Bidder,23-Dec-2025 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3035396,Bhagaban Nath,14-Aug-2025 12:16 AM,Accepted-AOC,1st Lowest Bidder,23-Dec-2025 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3036169,GYAN RANJAN SWAIN,15-Aug-2025 08:44 PM,Rejected-Technical,As per decision of technical evaluation committee,20-Sep-2025 11:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3043493,PRASANTA KUMAR SAHU,21-Aug-2025 02:59 PM,Rejected-Technical,As per decision of technical evaluation committee,20-Sep-2025 11:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3043010,SUBHAM ENTERPRISE,21-Aug-2025 03:26 PM,Rejected-AOC,2nd Lowest Bidder,23-Dec-2025 05:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3035394,SUMAN KUMAR SAHU,14-Aug-2025 10:07 AM,Rejected-Technical,As per decision of technical evaluation committee,20-Sep-2025 11:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3041851,Trinath Engineers,21-Aug-2025 02:27 PM,Rejected-Technical,As per decision of technical evaluation committee,20-Sep-2025 11:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3035505,Yajat Agrawal,14-Aug-2025 10:11 AM,Rejected-Technical,As per decision of technical evaluation committee,20-Sep-2025 11:53 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
