Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Improvement to Bijapadar-Bhuktapada MIP (Res) in Boudh Block of Boudh District under DPIW Scheme for 2025-26,Improvement to Bijapadar-Bhuktapada MIP (Res) in Boudh Block of Boudh District under DPIW Scheme for 2025-26,Please refer Tender documents. ,NA ,"12,70,978",Civil Works - Others,NA ,Tender,90.0,90.0,Boudh.,762014.0,NA ,NA ,NA ,"SE, Minor Irrigation Division, Boudh",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Registration Certificate, PAN, GST, No Relation Certificate and Affidavit",01-Nov-2025 10:00 AM,15-Nov-2025 11:00 AM,01-Nov-2025 10:00 AM,14-Nov-2025 05:30 PM,NA ,NA ,01-Nov-2025 10:00 AM,14-Nov-2025 05:30 PM,"12,800",Yes,fixed,,Nil,Nil,"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Kandhamal",09/BMID/2025-2026,2025_CEMIB_120528_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"SE, Minor Irrigation Division, Boudh","Superintending Engineer, Minor Irrigation Division, Boudh, At/Po-Malisahi, District-Boudh, PIN-762014","6,000",0.0,Nil,Nil,No,AOC,21-Dec-2025,"INR 1,274,940",90.0,SURJYA NARAYANA PANIGRAHI,21-Dec-2025 12:37 PM,Bijapadar.pdf (271.00 KB),1,3222517,ASHOK KUMAR MAHAKUD,13-Nov-2025 07:32 PM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,SE MI DIVISION BOUDH,Internal,,SURJYA NARAYANA PANIGRAHI,27-Nov-2025 11:31 AM,techsummary_560744.pdf (43.48 KB),SE MI DIVISION BOUDH,Internal,,SURJYA NARAYANA PANIGRAHI,27-Nov-2025 11:37 AM,finsummary_560744.pdf (43.48 KB),"CE,Minor Irrigation,BBSR||Phulbani Minor Irrigation Circle Phulbani||MI Division Kandhamal",2025_CEMIB_120528_1,09/BMID/2025-2026,Improvement to Bijapadar-Bhuktapada MIP (Res) in Boudh Block of Boudh District under DPIW Scheme for 2025-26,1.0,3220176.0,Naresh Chandra Luha,INR,"1,080,458.31",Finance,All Bidders are Responsive,SURJYA NARAYANA PANIGRAHI,27-Nov-2025 11:28 AM,finance_560744.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Other Documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,AOC,,,,,,,2,3221175,BABITA MEHER,14-Nov-2025 12:21 PM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3220810,BIMALA KARMI,14-Nov-2025 03:26 PM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3223796,Biswanath Patra,14-Nov-2025 11:58 AM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3222330,GOBINDA MEHER,13-Nov-2025 06:18 PM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3224264,KULAMANI MAJHI,14-Nov-2025 12:59 PM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3223456,LALITA SENAPATI,14-Nov-2025 09:12 AM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3212278,MAHENDRA BEHERA,11-Nov-2025 12:50 PM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3220935,MINAKSHEE PRADHAN,13-Nov-2025 12:58 PM,Rejected-AOC,Not Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3220176,Naresh Chandra Luha,13-Nov-2025 11:59 AM,Accepted-AOC,Qualified in Lottery,21-Dec-2025 12:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
