S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
1.0,3028308.0,NITYANANDA BEHERA,INR,"3,115,298",Finance,24nos bids received,Mohammed Shahbaz,12-Aug-2025 06:32 PM,,BOQ Comparative Chart,Er. Md Shahbaz SE,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD) Estr Mr N Srinibash Sr DAO,Mohammed Shahbaz,07-Dec-2025 05:36 PM,finsummary_547459.pdf (894.75 KB),EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,2025_EICCL_116114_2,SE CTC (RandB)-22 of 2025-26,"S/R to 4 lane road in the side Pettanallah from Aswini Hospital to CDA Sec-10, LHS from Ch 0/00Km to 0/750Km LHS and 0/00Km to 1/045Km RHS for the Year 2025-26 (Such as Laying of SDBC and Thermo Plastic Paint)",Er Md Shahbaz SE,Internal,Er Rashmirekha Behera AE Estr Er Amiya Ranjan Sinha EE(OSD),Mohammed Shahbaz,16-Aug-2025 06:21 PM,techsummary_547459.pdf (1127.69 KB),1,3028249,ADITYA KUMAR DAS,08-Aug-2025 01:27 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,07-Dec-2025,"INR 3,115,298",30.0,Mohammed Shahbaz,07-Dec-2025 05:40 PM,116114_2_A.pdf (409.00 KB),The agency has been finalised on transparent lottery system and the date of commencement may be treated as 16.09.2025 to complete the work by 15.10.2025 in all respect,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd Certificate, GSTIN, PAN, Affidavit and other mandatory documents as per DTCN",25-Jul-2025 05:00 PM,11-Aug-2025 11:00 AM,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,NA ,NA ,25-Jul-2025 05:00 PM,08-Aug-2025 05:00 PM,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-CUTTACK,SE CTC (RandB)-22 of 2025-26,2025_EICCL_116114_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"36,700",Yes,fixed,,Nil,Nil,"S/R to 4 lane road in the side Pettanallah from Aswini Hospital to CDA Sec-10, LHS from Ch 0/00Km to 0/750Km LHS and 0/00Km to 1/045Km RHS for the Year 2025-26 (Such as Laying of SDBC and Thermo Plastic Paint)",Road work,As per DTCN ,NA ,"36,64,625",Civil Works - Roads,NA ,Tender,90.0,30.0,Cuttack,753001.0,NA ,NA ,NA ,O/O SE Cuttack RandB Division No.I Cuttack,No ,No,SE Cuttack RandB Division No.I,O/O SE Cuttack RandB Division No.I Cuttack,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3025408,AKS MINING INFRACON,08-Aug-2025 12:39 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3022044,AMITABH SWAIN,03-Aug-2025 01:01 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3021009,AMIYA SAMANTRAY,07-Aug-2025 12:24 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3024763,ARACHIS ZEPPELIN SERVICES PRIVATE LIMITED,05-Aug-2025 04:17 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3028233,BANDITA BHUYAN,08-Aug-2025 12:36 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3028619,BHAGIRATHI BISWAL,08-Aug-2025 03:09 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3028888,BIJAY KUMAR PARIDA,08-Aug-2025 04:59 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3028092,DEBANANDA DAS,08-Aug-2025 12:04 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3026848,DEBASIS SAHOO,08-Aug-2025 04:28 PM,Rejected-AOC,Rejected,07-Dec-2025 05:40 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
