Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Finance,U,SIDDHARTHA SHANKAR DAS,22-Nov-2025 12:08 PM,finance_553340.pdf,BOQ Comparative Chart,1.0,3101944.0,SOUBHAGYA RANJAN DAS,INR,"1,317,561",CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,2025_KIDK_118339_47,BAID 02 OF 2025-26,Improvement to L/R Bank Service Road of Tampala Minor From RD. 00 M TO 2000 M for the year 2025-2026. (working RD 550mtr to 1600 mtr),"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 07:12 PM,finsummary_553340.pdf (410.20 KB),"Er Laxman Marndi, SE",Internal,"Somanath Tripathy, DAO, Sidhartha Sekhar Das, Estr, Satyaprakash Senapaty, JE",Laxman Marandi,22-Nov-2025 07:01 PM,techsummary_553340.pdf (410.20 KB),10-Dec-2025,"INR 1,317,561",120.0,Laxman Marandi,10-Dec-2025 01:15 PM,47.pdf (319.00 KB),1st lowest,1,3114433,BAILOCHANA BEHERA,07-Oct-2025 05:00 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,Improvement to L/R Bank Service Road of Tampala Minor From RD. 00 M TO 2000 M for the year 2025-2026. (working RD 550mtr to 1600 mtr),Improvement to L/R Bank Service Road of Tampala Minor From RD. 00 M TO 2000 M for the year 2025-2026. (working RD 550mtr to 1600 mtr),Please refer Tender documents. ,NA ,"15,50,000",Civil Works - Canal,NA ,Tender,90.0,120.0,Salapada,758020.0,NA ,NA ,NA ,"SE, Baitarani Irrigation Division, Salapada",No ,No,"15,500",Yes,fixed,,Nil,Nil,25-Sep-2025 09:00 AM,10-Oct-2025 11:00 AM,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,NA ,NA ,25-Sep-2025 09:00 AM,09-Oct-2025 05:30 PM,"SE, Baitarani Irrigation Division, Salapada","SE, Baitarani Irrigation Division, Salapada",1.0,ICICI BANK,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||EE Keonjhar Irrigation Divn Keonjhar,BAID 02 OF 2025-26,2025_KIDK_118339_47,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Affidavit, RC, No Relationship etc.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3113260,Basanta Kumar Barik,09-Oct-2025 11:38 AM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3117398,BASANTA KUMAR NAIK,08-Oct-2025 06:16 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3113218,BICHITRANANDA JENA,08-Oct-2025 09:01 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3110272,BISWAJIT ROUT,04-Oct-2025 09:48 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3103146,DURYODHAN SAHOO,30-Sep-2025 08:05 AM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3109904,GITA RANI SAHOO,04-Oct-2025 05:45 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3115950,IPSITA MOHAPATRA,08-Oct-2025 12:57 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3104669,JAGABANDHU JENA,01-Oct-2025 05:31 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3118450,JHUMALATA MALIK,09-Oct-2025 12:34 PM,Rejected-Finance,r,22-Nov-2025 07:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
