Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 01:29 PM,techsummary_554848.pdf (204.08 KB),1.0,3144657.0,JAGADISH ENTERPRISES,INR,"5,430,480",Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,2025_OLIC_119009_6,03/2025-26,Installation and Energisation of Badabagri - IV and V L.I.Project under Dasmantpur Block of Koraput District,1,3145909,ANUP POWER INFRASTRUCTURE,23-Oct-2025 03:32 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,08-Dec-2025,"INR 4,602,101",90.0,JUGAL TAKRI,08-Dec-2025 04:15 PM,AOCsummary.pdf (40.00 KB),Awarded,Finance,bidders are participated successfully.,JUGAL TAKRI,06-Dec-2025 12:07 PM,finance_554848.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer, Divisional Accountant, Estimator",JUGAL TAKRI,06-Dec-2025 05:14 PM,finsummary_554848.pdf (204.08 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Detail Tender Call notice, PAN ,GST, Civil and Electrical Contractors Licence, Labour Licence,Experi","11,800",0.0,Nil,Nil,No,1.0,ICICI BANK,13-Oct-2025 10:00 AM,24-Oct-2025 11:00 AM,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 10:00 AM,23-Oct-2025 05:00 PM,Orissa Lift Irrigation Corporation||LI KORAPUT||LI Division Koraput,03/2025-26,2025_OLIC_119009_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"54,136",No,percentage,1.0%,Nil,Nil,Installation and Energisation of Badabagri - IV and V L.I.Project under Dasmantpur Block of Koraput District,Installation and Energisation of Badabagri - IV and V L.I.Project under Dasmantpur Block of Koraput District,Please refer Tender documents. ,NA ,"54,13,600",Civil Works - Lift Irrigation Schemes,NA ,Tender,270.0,90.0,Koraput,764020.0,NA ,NA ,NA ,Koraput,No ,No,E E L I Division Koraput,E E L I Division Koraput,AOC
,,,,,,,,,,,,,,,2,3139662,BADAL PATTNAIK,22-Oct-2025 07:58 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,3135108,CHANDAN NAYAK,20-Oct-2025 12:03 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,3144657,JAGADISH ENTERPRISES,23-Oct-2025 10:23 AM,Accepted-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,3146174,MAADURGA ENGINEERING AND ASSOCIATES PRIVATE LIMITED,23-Oct-2025 04:48 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,3139576,MANOJ KUMAR PANDA,21-Oct-2025 12:52 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,3132635,M/S ENGINEERS ENTERPRISES,17-Oct-2025 03:48 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,3136192,M/S MAHAMAYEE ENTERPRISES,20-Oct-2025 12:06 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,3136381,M/S. PADHI ELECTRICALS,21-Oct-2025 11:45 AM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,3132901,M/S SHANTI POWER AND CONSTRUCTION,18-Oct-2025 04:49 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,3143725,M/S U.S. QUALITY ENGINEERING WORKS,22-Oct-2025 07:05 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,12,3145849,RAMESH CHANDRA BISWAL,23-Oct-2025 03:29 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,06-Dec-2025 12:07 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,13,3143677,Sambit Kumar Dash,23-Oct-2025 10:52 AM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,14,3144120,SUBHAM ELECTRICALS,22-Oct-2025 09:05 PM,Rejected-AOC,Awarded,08-Dec-2025 04:15 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
