S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3190326.0,BIGHNARAJ PRADHANI,INR,"3,572,080",CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,2025_CERWI_120114_52,BI No.Tender Online SNPR-06 of 2025-26.,S/R to Mayurudan to Bishimunda from ch. 0/000 to 3/3000 Km.,1,3183718,AJIT KUMAR DASH,05-Nov-2025 12:19 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,23-Dec-2025,"INR 3,572,080",180.0,Subhrata Meher,23-Dec-2025 04:53 PM,AOC.pdf (479.00 KB),Work awarded in regular lottery system,Finance,35 nos of bidders appeared,Subhrata Meher,14-Nov-2025 06:22 PM,,BOQ Comparative Chart,Er Subhrata Meher,Internal,,Subhrata Meher,23-Dec-2025 04:47 PM,finsummary_559091.pdf (329.56 KB),Er Subhrata Meher,Internal,,Subhrata Meher,23-Dec-2025 04:43 PM,techsummary_559091.pdf (329.56 KB),AOC,29-Oct-2025 05:00 PM,10-Nov-2025 11:00 AM,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,29-Oct-2025 05:00 PM ,06-Nov-2025 04:00 PM ,29-Oct-2025 05:00 PM,07-Nov-2025 05:00 PM,"Executive Engineer, R W Div., Sonepur","O/o the S E, R.W. Division, Sonepur",1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD PAN GST CERTIFICATE VALID CONTRACT LICENCE AFFIDAVIT AS PER DTCN ETC,S/R to Mayurudan to Bishimunda from ch. 0/000 to 3/3000 Km.,Civil S/R Roads works,Please refer Tender documents. ,NA ,"42,02,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the S E, R.W. Division, Sonepur",No ,No,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-SONEPUR,BI No.Tender Online SNPR-06 of 2025-26.,2025_CERWI_120114_52,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"42,020",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,3191311,Asit Prakash Samantara,06-Nov-2025 08:47 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3191018,BHABANI SHANKAR KHATUA,06-Nov-2025 08:01 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3190326,BIGHNARAJ PRADHANI,06-Nov-2025 05:36 PM,Accepted-AOC,Work awarded in regular lottery system,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3187249,DEBABRATA BRAHMA,06-Nov-2025 11:17 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3190261,DEBASHIS RAUL,06-Nov-2025 05:15 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3192943,Duryodhan Mishra,07-Nov-2025 12:18 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3181328,JAGABANDHU DANDIA,04-Nov-2025 03:58 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3192328,KRISHNA KUMAR AGRAWAL,07-Nov-2025 03:21 PM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3186572,Kunja Bihari Sahu,06-Nov-2025 11:38 AM,Rejected-AOC,Rejected,23-Dec-2025 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
