S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,3053335.0,DILLIP NAYAK,INR,"6,097,212",R.Pradhan,Internal,,Rajesh Pradhan,08-Oct-2025 01:03 PM,finsummary_549467.pdf (2237.77 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_116963_1,3(TCN)/RWD/BPD/2025-26,"Const. of 3 nos. F-Type Qtr at R.W. Division, Udala_building",Technical,.,Dibyamayee Behera,23-Sep-2025 01:28 PM,technical_549467.pdf,Finance,.,Rajesh Pradhan,08-Oct-2025 12:25 PM,finance_549467.pdf,BOQ Comparative Chart,R.Pradhan,Internal,,Dibyamayee Behera,23-Sep-2025 01:36 PM,23-Sep-2025 02:00 PM,techsummary_549467.pdf (2125.68 KB),06-Nov-2025,"INR 6,097,212",180.0,Rajesh Pradhan,15-Dec-2025 11:14 AM,85.pdf (932.00 KB),1,3052583,AJAY KUMAR SETHI,28-Aug-2025 02:03 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,1.0,ICICI BANK,"71,723",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,3(TCN)/RWD/BPD/2025-26,2025_CERWI_116963_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Const. of 3 nos. F-Type Qtr at R.W. Division, Udala_building","Const. of 3 nos. F-Type Qtr at R.W. Division, Udala_building",NA ,NA ,"71,72,347",Civil Works - Buildings,NA ,Tender,90.0,180.0,Mayurbhanj,757002.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MAYURBHANJ",No ,No,Divisional Officer,"RURAL WORKS DIVISION, MAYURBHANJ",20-Aug-2025 11:00 AM,29-Aug-2025 05:30 PM,20-Aug-2025 11:00 AM,29-Aug-2025 05:00 PM,20-Aug-2025 11:00 AM ,29-Aug-2025 03:00 PM ,20-Aug-2025 11:00 AM,29-Aug-2025 05:00 PM,23-Sep-2025 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,"RC PAN GSTIN Scan copy of EI License, Affidavits and other documents as per DTCN","10,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3053321,AJIT KUMAR BEHERA,28-Aug-2025 08:34 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3054051,ANIL KUMAR GHADEI,29-Aug-2025 03:00 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3048903,ARUN KUMAR SARGHARIA,26-Aug-2025 01:50 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3052452,ASIT KUMAR LENKA,28-Aug-2025 01:13 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3047909,BIKASH RANJAN NAYAK,25-Aug-2025 01:39 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3052485,DEBASMITA BHUJABAL,28-Aug-2025 07:05 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3046836,DEEPAK KUMAR SAHU,24-Aug-2025 08:01 PM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3053335,DILLIP NAYAK,28-Aug-2025 10:24 PM,Accepted-AOC,Lottery winner,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3053693,HARINARAYAN POTHAL,29-Aug-2025 08:52 AM,Rejected-AOC,unsuccessful tenderer.,15-Dec-2025 11:15 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
