Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of Infrastructure and development work at Masanibandha Kikia,FIC cum FRS CC Road Site Development,As per DTCN ,NA ,"43,45,319",Civil Works - Others,NA ,Rate Contract,90.0,NA ,Masanibandha Kikia,766012.0,NA ,NA ,NA ,Kesinga,No ,No,05-Aug-2025 11:00 AM,19-Aug-2025 11:00 AM,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,NA ,NA ,05-Aug-2025 11:00 AM,18-Aug-2025 05:00 PM,chairman RMC Kesinga,Kesinga Kalahandi,"43,453",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN EMD etc. as per DTCN,1.0,Change of Class of Contractor,Other,,1.0,ICICI BANK,Odisha State Agricultural Marketing Board||RMC Kesinga,RMC/Kesinga/04/2025-26,2025_OSAMB_116438_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,Yes,AOC,05-Dec-2025,"INR 3,693,956",90.0,Prabhat Kumar Parida,06-Dec-2025 05:14 PM,KIKIAMASANIBANDHAAOC.pdf (425.00 KB),Selection of lottery,1,3032755,AJAYA KUMAR BOHIDAR,13-Aug-2025 11:58 AM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,Sub Collector Bhawanipatna,Internal,Secretary AEE JE Accoutant,Jyoti Ranjan Dash,11-Sep-2025 03:30 PM,techsummary_548266.pdf (1636.05 KB),Subcollector,Internal,"Secretary, AEE, JE,Accountant",Prabhat Kumar Parida,05-Dec-2025 10:49 AM,finsummary_548266.pdf (1642.49 KB),Odisha State Agricultural Marketing Board||RMC Kesinga,2025_OSAMB_116438_1,RMC/Kesinga/04/2025-26,Construction of Infrastructure and development work at Masanibandha Kikia,1.0,3040266.0,GHANASHYAM SAHU,INR,"3,693,956",Finance,Admitted,Jyoti Ranjan Dash,19-Aug-2025 07:25 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Financial,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,3035273,ANIL KUMAR KEDIA,18-Aug-2025 04:50 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,3038786,ANKIT KUMAR AGRAWAL,17-Aug-2025 01:43 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,3040027,ASHOK KUMAR PADHAN,18-Aug-2025 03:36 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,3039375,BABULAL SAHU,18-Aug-2025 01:26 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,3039893,Bhakta Charan Bhoi,18-Aug-2025 02:14 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,3040061,Bhodev Mahala,18-Aug-2025 01:53 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,3040238,BIBEK KUMAR JAIN,18-Aug-2025 03:34 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,3039669,Biswajit Mund,18-Aug-2025 04:22 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,3037904,CHAITANYA MAJHI,16-Aug-2025 12:53 PM,Rejected-AOC,not selected in the lottery,06-Dec-2025 05:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
