S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3019095.0,AKSHAYA KUMAR MOHAPATRA,INR,"13,976,549",Santosh Kumar Behera,Internal,SE Rourkela R and B Division Sr DAO Rourkela R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,29-Oct-2025 05:31 PM,finsummary_546472.pdf (101.71 KB),EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,2025_EICCL_115734_4,CCEKC - 05 / 2025-26,Construction of 4 Nos. of E-Type quarters for the Staff of Biramitrapur station of Sundargarh Judgeship for the year 2025-26,Technical,Bid opening summary,Santosh Kumar Behera,01-Aug-2025 06:13 PM,technical_546472.pdf,Finance,Bid opening summary,Santosh Kumar Behera,09-Oct-2025 06:05 PM,finance_546472.pdf,BOQ Comparative Chart,Santosh Kumar Behera,Internal,SE Sundargarh R and B Division DAO-I Sundargarh R and B Division PA to CCE Keonjhar R and B Circle,Santosh Kumar Behera,06-Oct-2025 03:41 PM,09-Oct-2025 04:30 PM,techsummary_546472.pdf (1270.27 KB),1,3015951,AJAY KUMAR AGRAWAL,28-Jul-2025 09:25 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,30-Dec-2025,"INR 13,976,549",180.0,Santosh Kumar Behera,30-Dec-2025 05:13 PM,AOC4nosEtypeQTRBiramitrapurStation.pdf (1140.00 KB),"1st Lowest Bidder, Winner of Lottery",AOC,1.0,ICICI BANK,19-Jul-2025 09:00 AM,01-Aug-2025 11:30 AM,19-Jul-2025 09:00 AM,31-Jul-2025 04:00 PM,NA ,NA ,19-Jul-2025 09:00 AM,31-Jul-2025 04:00 PM,09-Oct-2025 04:30 PM,1.0,Fee/PreQual/Technical,.pdf,"Online proof copy of Tender paper Cost and EMD,PAN,GSTIN,Contractor RC,Affidavit.","1,64,500",Yes,fixed,,Nil,Nil,CCE Keonjhar (R and B) Circle,"O/o the CCE Keonjhar (R and B) Circle, Keonjhar-758001","10,000",0.0,Nil,Nil,No,Construction of 4 Nos. of E-Type quarters for the Staff of Biramitrapur station of Sundargarh Judgeship for the year 2025-26,Construction of 4 Nos. of E-Type quarters for the Staff of Biramitrapur station of Sundargarh Judgeship for the year 2025-26,Please refer Tender Documents ,NA ,"1,64,41,064",Civil Works - Buildings,NA ,Tender,90.0,180.0,Rourkela,769012.0,NA ,NA ,NA ,O/o the CCE Keonjhar (R and B) Circle,No ,No,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR,CCEKC - 05 / 2025-26,2025_EICCL_115734_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3019210,AJAY KUMAR SAHU,31-Jul-2025 01:31 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,"Machineries, work in hand, work experience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3019095,AKSHAYA KUMAR MOHAPATRA,31-Jul-2025 01:31 PM,Accepted-AOC,1st Lowest Bidder Winner of Lottery,30-Dec-2025 05:14 PM,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3018850,AMIT KUMAR GIRI,31-Jul-2025 12:17 AM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3009428,DEEPAK KUMAR MISHRA,22-Jul-2025 11:31 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3018686,DHANLAXMI ESTABLISHMENT PRIVATE LIMITED,30-Jul-2025 10:25 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3010357,ENGICONS ASSOCIATES,31-Jul-2025 02:12 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3018533,GANESH THAKUR,30-Jul-2025 06:00 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3012193,GIRISH SAMAL,31-Jul-2025 02:22 PM,Rejected-Finance,1st Lowest Bidder Looser of Lottery,29-Oct-2025 05:31 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3019361,JITENDRA SINGH,31-Jul-2025 03:51 PM,Rejected-Technical,"The bidder did not put his signature at Schedule-A (Certificate of No Relationship), failed to meet the requirement under Clause No. 35 of the DTCN. Hence, disqualified in view of the Clause No. 112 (h) of the DTCN.",06-Oct-2025 03:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
