Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage
Finance,ok,Bidyut Prabha Padhy,10-Dec-2025 09:17 PM,,BOQ Comparative Chart,1.0,3110725.0,DUKHI NAIK,INR,"713,801",CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,2025_CERWI_118465_1,03/MOHANA/2025-26,Repair to 6 Nos. F Type Jail Staff Quarter Building at R.Udayagiri for the year 2025-26,EXECUTIVE ENGINEER,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,10-Dec-2025 09:36 PM,finsummary_553610.pdf (649.99 KB),EXECUTIVE ENGINEER,Internal,"Executive Engineer, DAO, AEE Mohana, Estimator",Bidyut Prabha Padhy,10-Dec-2025 09:25 PM,techsummary_553610.pdf (649.99 KB),1,3111067,BINNALA VIJAYA BABU,05-Oct-2025 08:00 PM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,10-Dec-2025,"INR 713,801",30.0,Bidyut Prabha Padhy,10-Dec-2025 09:43 PM,ID3SL5.pdf (650.00 KB),Successful Bidder,AOC,Repair to 6 Nos. F Type Jail Staff Quarter Building at R.Udayagiri for the year 2025-26,Repair to 6 Nos. F Type Jail Staff Quarter Building at R.Udayagiri for the year 2025-26,NA ,NA ,"8,39,667",Civil Works - Buildings,NA ,Tender,90.0,30.0,Mohana,761015.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, MOHANA",No ,No,"4,000",0.0,Nil,Nil,No,"8,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit,GSTIN,PAN,RC,other papers as per DTCN,BOQ",25-Sep-2025 11:00 AM,08-Oct-2025 11:00 AM,25-Sep-2025 11:00 AM,06-Oct-2025 05:00 PM,25-Sep-2025 11:00 AM ,03-Oct-2025 05:00 PM ,25-Sep-2025 11:00 AM,06-Oct-2025 05:00 PM,CE RW I||RWCIRCLE-RAYAGADA||RWDIVISION-MOHANA,03/MOHANA/2025-26,2025_CERWI_118465_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Engineer,"RURAL WORKS DIVISION, MOHANA",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3110725,DUKHI NAIK,05-Oct-2025 01:53 PM,Accepted-AOC,Successful Bidder,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3111720,DURGA PRASAD SAHU,06-Oct-2025 02:05 PM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3105905,G APEYA,02-Oct-2025 07:39 PM,Rejected-Technical,Invalid GST,10-Dec-2025 09:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3111321,HARI KRUSHNA GOUDA,05-Oct-2025 10:24 PM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3111365,HARI KRUSHNA PRADHAN,05-Oct-2025 09:03 PM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3110477,HEMANTA KUMAR RANA,05-Oct-2025 11:49 AM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3108314,HUTTASAN APPATO,04-Oct-2025 11:04 PM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3106816,KHAGESWARA PRADHAN,04-Oct-2025 03:08 PM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3110482,Krushna Chandra Gouda,05-Oct-2025 10:55 AM,Rejected-AOC,All documents submitted,10-Dec-2025 09:43 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
