Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Rourkela Municipal Corporation,2025_RMC_118260_1,MC/RMC/36/2025,"Construction of Road and Drain near Chhend Food Court area under RMC, Rourkela, Ward No. 13",Technical,Financial BID Opening,Birendra Nanda,22-Oct-2025 05:26 PM,technical_553085.pdf,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,11-Dec-2025 12:36 PM,finsummary_553085.pdf (986.11 KB),1.0,3094629.0,GOPAL TOPPO,INR,"4,904,906.01",12-Dec-2025,"INR 4,904,906.01",120.0,Manas Biswal,12-Dec-2025 04:07 PM,BID36.pdf (986.00 KB),Awarded to Gopal Toppo,Finance,EMD refund,Manas Biswal,11-Dec-2025 12:20 PM,finance_553085.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,22-Oct-2025 05:38 PM,22-Oct-2025 05:45 PM,techsummary_553085.pdf (552.56 KB),1,3109362,BIBHU BUSAN BEURA,04-Oct-2025 02:30 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,"Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","57,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Rourkela Municipal Corporation,MC/RMC/36/2025,2025_RMC_118260_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Construction of Road and Drain near Chhend Food Court area under RMC, Rourkela, Ward No. 13",Works,Please refer Tender documents. ,NA ,"57,70,000",Civil Works - Others,NA ,Tender,90.0,120.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"10,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD, Paper Cost and other documents as per DTCN",19-Sep-2025 06:00 PM,06-Oct-2025 11:00 AM,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,NA ,NA ,19-Sep-2025 06:00 PM,04-Oct-2025 05:00 PM,22-Oct-2025 05:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3109185,DEBENDRA KUMAR JENA,04-Oct-2025 01:34 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3106704,DEEPAK KUMAR ROUT,03-Oct-2025 12:16 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3094629,GOPAL TOPPO,22-Sep-2025 01:55 PM,Accepted-AOC,By The Tender Committee,12-Dec-2025 04:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3102649,HEMA MINZ,29-Sep-2025 01:20 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3108014,JITENDRA KUMAR RATH,03-Oct-2025 06:41 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3109756,KAILASH CHANDRA SAMAL,04-Oct-2025 04:36 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3101673,KALANDI CHARAN SWAIN,04-Oct-2025 03:00 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3109670,Manoj Kumar Jena,04-Oct-2025 04:35 PM,Rejected-Finance,By The Tender Committee,11-Dec-2025 12:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3102571,MANOJ KUMAR NAYAK,29-Sep-2025 12:46 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Oct-2025 05:26 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
