EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"4,21,470",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"Chief Construction Engineer,RW Circle,Rayagada","O/O the Chief Construction Engineer,RW Circle,Rayagada near Hathipathar road,Raniguda Farm","10,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Affidavit GSTIN PAN RC Annual Turn Over Experience Machinery and other papers as per DTCN,25-Jun-2025 01:00 PM,05-Jul-2025 11:00 AM,25-Jun-2025 01:00 PM,04-Jul-2025 05:00 PM,25-Jun-2025 01:00 PM ,03-Jul-2025 05:00 PM ,25-Jun-2025 01:00 PM,04-Jul-2025 05:00 PM,30-Aug-2025 11:00 AM,Construction of Ajayagada to Kujasing road,Construction of Ajayagada to Kujasing road,NA ,NA ,"4,21,47,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Gajapati,761200.0,NA ,NA ,NA ,"Rural Works Circle, Rayagada",No ,No,CE RW I||RWCIRCLE-RAYAGADA,NCB 05 RWCRGDA 2025 26,2025_CERWI_114828_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,CE RW I||RWCIRCLE-RAYAGADA,2025_CERWI_114828_1,NCB 05 RWCRGDA 2025 26,Construction of Ajayagada to Kujasing road,Technical,tenders to be verified,Binod Behari Das,22-Aug-2025 03:39 PM,,OFFICE OF THE CCE RAYAGADA,Internal,"CCE Rayagada, Executive Engineer RW Division Gajapati, DAO Gajapati, PA to CCE and AE Esitmator RW Circle Rayagada",Binod Behari Das,01-Dec-2025 01:48 PM,finsummary_544303.pdf (423.16 KB),1.0,2984885.0,Umakanta Sahu,INR,"35,828,805.04",01-Dec-2025,"INR 35,828,805.04",180.0,Binod Behari Das,01-Dec-2025 01:54 PM,WorkOrderUmakantaSahu.pdf (1021.00 KB),Contract awarded to Umakanta Sahu,1,2982831,ALLAPA AKHIL KUMAR,01-Jul-2025 11:12 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,"Estimator,DAO, Executive Engineer of R.W.Division, Gajapati and Estimator PA to CCE,CCE R.W.Circle Rayagada",Internal,,Binod Behari Das,22-Aug-2025 04:14 PM,30-Aug-2025 11:00 AM,techsummary_544303.pdf (326.89 KB),Finance,VERIFIED,Binod Behari Das,02-Sep-2025 01:26 PM,,BOQ Comparative Chart,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2982634,KISHOR CHANDRA SIBALA,01-Jul-2025 06:34 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2986552,MANOJ KUMAR PANIGRAHI,03-Jul-2025 05:44 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2986855,M/S S. KARUNAKAR RAO,04-Jul-2025 02:20 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2988389,P VARA PRASAD,04-Jul-2025 09:57 AM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2988145,R Govinda Rao,03-Jul-2025 08:58 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2987856,ROUTHU SUNIL KUMAR,04-Jul-2025 12:36 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2987885,SANTOSH KUMAR SENAPATI,03-Jul-2025 04:36 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2988340,SIVALA PHALGUNA RAO,04-Jul-2025 03:31 PM,Rejected-Technical,"disqualified due to inadequate bid capacity, vide clause no cl 2.1(7) of instructions to bidders of DTCN",22-Aug-2025 04:14 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2988633,SRIKANTA KUMAR SAHU,04-Jul-2025 03:50 PM,Rejected-AOC,Contract awarded to Umakanta Sahu,01-Dec-2025 01:55 PM,,,,,,,,,,,,,,AOC
