S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
1.0,3085053.0,DHARMAJEET SAHU,INR,"3,858,951.83",Finance,summary,Ashok Kumar Sethi,22-Dec-2025 09:29 AM,finance_551862.pdf,BOQ Comparative Chart,SE,Internal,,Ashok Kumar Sethi,22-Dec-2025 09:40 AM,finsummary_551862.pdf (161.13 KB),"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2025_CEMIB_117792_2,Bid Identification No.- 08 / MIDA / 2025-26,Construction of Gobrabeda Check Dam over Local nallah near village Gobrabeda in Ghatagaon block of Keonjhar district under MATY scheme for the year 2025-26,SE,Internal,,Ashok Kumar Sethi,22-Dec-2025 09:33 AM,techsummary_551862.pdf (161.13 KB),22-Dec-2025,"INR 3,858,951.83",180.0,Ashok Kumar Sethi,22-Dec-2025 09:45 AM,GobarabedaCD.pdf (161.00 KB),1,3080111,ABHILIPSA PRIYADARSINI JENA,15-Sep-2025 11:04 AM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Bid Identification No.- 08 / MIDA / 2025-26,2025_CEMIB_117792_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,Construction of Gobrabeda Check Dam over Local nallah near village Gobrabeda in Ghatagaon block of Keonjhar district under MATY scheme for the year 2025-26,Construction of Gobrabeda Check Dam over Local nallah near village Gobrabeda in Ghatagaon block of Keonjhar district under MATY scheme for the year 2025-26,Please refer Tender documents. ,NA ,"45,40,000",Civil Works - Water Works,NA ,Rate Contract,90.0,180.0,GHATAGAON,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN","45,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,09-Sep-2025 10:00 AM,19-Sep-2025 10:00 AM,09-Sep-2025 10:05 AM,18-Sep-2025 05:00 PM,NA ,NA ,09-Sep-2025 10:10 AM,18-Sep-2025 05:00 PM,SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3084500,ANIL KUMAR SAHOO,16-Sep-2025 09:43 PM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3086040,ANITA NAIK,18-Sep-2025 12:06 PM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3086550,ASHIS KUMAR ROUT,18-Sep-2025 03:49 PM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3084530,ASIN KUMAR JENA,17-Sep-2025 01:07 PM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3085990,ASWINI KUMAR JENA,18-Sep-2025 11:44 AM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3084308,ATISH KUMAR SAHOO,16-Sep-2025 07:35 PM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3086018,BANANI PADHIHARI,18-Sep-2025 11:54 AM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3086284,BHARAT BHUSAN JENA,18-Sep-2025 01:33 PM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3084492,BHOLANATH MAHANTA,16-Sep-2025 09:25 PM,Rejected-AOC,Lottery,22-Dec-2025 09:45 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
