Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"6,000",0.0,Nil,Nil,No,"19,490",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD ,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",1.0,ICICI BANK,S/R to RD Road to Nenjara Road for the year 2025-26 in the District of Bhadrak,S/R to RD Road to Nenjara Road for the year 2025-26 in the District of Bhadrak,Please refer Tender documents. ,NA ,"19,49,000",Civil Works - Roads,NA ,Tender,90.0,60.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2025-26,2025_CERWI_120099_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,27-Oct-2025 04:00 PM,11-Nov-2025 11:00 AM,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,27-Oct-2025 04:00 PM ,10-Nov-2025 03:00 PM ,27-Oct-2025 04:00 PM,10-Nov-2025 05:00 PM,"O/o EE R.W.DIVISION-II,BHADRAK","O/o EE R.W.DIVISION-II,BHADRAK",AOC,1,3198709,ABINASH BEHERA,09-Nov-2025 01:28 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,23-Dec-2025,"INR 1,656,739",60.0,Lambodar Naik,23-Dec-2025 01:01 PM,6452_20251223_0001.pdf (657.00 KB),Executive Engineer,Internal,,Lambodar Naik,23-Dec-2025 12:50 PM,techsummary_558373.pdf (282.30 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_120099_5,SE/BDK-II/TCN-10/2025-26,S/R to RD Road to Nenjara Road for the year 2025-26 in the District of Bhadrak,Executive Engineer,Internal,,Lambodar Naik,23-Dec-2025 12:55 PM,finsummary_558373.pdf (423.37 KB),Finance,total 21 bidders accepted,Lambodar Naik,14-Nov-2025 11:47 AM,,BOQ Comparative Chart,1.0,3171988.0,Lili Rout,INR,"1,656,739",AOC
,,,,,,,,,,,,,.xls,BILL OF QUANTITY,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,3189830,BAIDHAR BHARATI,06-Nov-2025 04:52 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,3184326,BIKASH CHANDRA TRIPATHY,05-Nov-2025 02:43 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,3187966,Damodar Nayak,06-Nov-2025 12:05 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3193412,Kailash Chandra Biswal,07-Nov-2025 01:09 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3195002,KAILASH CHANDRA SAHOO,07-Nov-2025 07:03 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3171988,Lili Rout,01-Nov-2025 01:46 PM,Accepted-AOC,selected through transparent lottery system,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3201745,MAMATA BARIK,09-Nov-2025 03:09 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3207209,M/S ANITA CONSTRUCTION,10-Nov-2025 02:31 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3191331,Nanda Kishore Sahoo,08-Nov-2025 03:55 PM,Rejected-AOC,rejected,23-Dec-2025 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
