Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,open,Sanjeet Kumar Naik,23-Dec-2025 04:58 PM,finance_558207.pdf,BOQ Comparative Chart,1.0,3213485.0,SAROJ KUMAR PARIDA,INR,"3,857,550",CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,2025_CERWI_120051_7,RWDRRP-10 of 25-26,Periodical maint of Kanki-Binjhua sunaposi road for the year 2025-26. SDBC,Sri Sanjeet Kumar Naik,Internal,,Sanjeet Kumar Naik,23-Dec-2025 05:05 PM,finsummary_558207.pdf (396.38 KB),Sri Sanjeet Kumar Naik,Internal,DAO EE,Sanjeet Kumar Naik,23-Dec-2025 05:01 PM,techsummary_558207.pdf (396.38 KB),23-Dec-2025,"INR 3,857,550",30.0,Sanjeet Kumar Naik,23-Dec-2025 05:09 PM,7314.pdf (396.00 KB),1,3210067,BIRENDRA BEHERA,10-Nov-2025 10:13 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,1.0,ICICI BANK,29-Oct-2025 11:00 AM,12-Nov-2025 11:30 AM,29-Oct-2025 11:00 AM,11-Nov-2025 05:00 PM,29-Oct-2025 11:00 AM ,10-Nov-2025 05:00 PM ,29-Oct-2025 11:00 AM,11-Nov-2025 05:00 PM,"45,380",Yes,percentage,1.0%,Nil,Nil,Periodical maint of Kanki-Binjhua sunaposi road for the year 2025-26. SDBC,Periodical maint of Kanki-Binjhua sunaposi road for the year 2025-26. SDBC,Please refer Tender documents. ,NA ,"45,38,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Rairangpur,757043.0,NA ,NA ,NA ,SERWD Rairangpur,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender documents as per DTCN,"6,000",0.0,Nil,Nil,No,SERWD Rairangpur,SERWD Rairangpur,CE RW I||RWCIRCLE-BARIPADA||RW Division Rairangpur,RWDRRP-10 of 25-26,2025_CERWI_120051_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3185758,BRAJA KISHORE MOHANTA,06-Nov-2025 05:56 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3193899,MANARANJAN MANDAL,07-Nov-2025 02:25 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3213505,MANOJ KUMAR MANDAL,11-Nov-2025 03:18 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3213851,PRATIMA PADHI,11-Nov-2025 04:08 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3213055,RAHUL KUMAR YADAV,11-Nov-2025 02:13 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3197163,RAM CHANDA HANSDAH,08-Nov-2025 01:15 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3196787,RATIKANTA BASA,08-Nov-2025 12:25 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3212042,Sandeep kumar rajak,11-Nov-2025 12:21 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3214041,SARBESWAR MOHANTA,11-Nov-2025 04:33 PM,Rejected-AOC,Lottery,23-Dec-2025 05:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
