Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,1.0,ICICI BANK,14-Oct-2025 05:55 PM,22-Oct-2025 11:00 AM,14-Oct-2025 05:55 PM,20-Oct-2025 05:00 PM,NA ,NA ,14-Oct-2025 05:55 PM,20-Oct-2025 05:00 PM,Badapari Singarama (Missing Link)road,Badapari Singarama (Missing Link)road,Please refer Tender documents. ,NA ,"5,08,000",Civil Works - Roads,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,"5,080",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 13/2025-26,2025_CERWI_119404_37,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,AOC,SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,29-Dec-2025 07:20 PM,techsummary_555969.pdf (708.18 KB),SE RWD BBSR,Internal,Sr DAO AEE and Estimator,Nirmal Chandra Jena,29-Dec-2025 07:22 PM,finsummary_555969.pdf (708.18 KB),Finance,12 nos of bidder are participated,Shrabani Routray,23-Oct-2025 05:53 PM,,BOQ Comparative Chart,29-Dec-2025,"INR 507,913.26",60.0,Nirmal Chandra Jena,29-Dec-2025 07:26 PM,dandigadia.pdf (777.00 KB),AoC,1,3136124,ALOK KUMAR MOHAPATRA,19-Oct-2025 03:59 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119404_37,Tender Online Divn. BBSR - 13/2025-26,Badapari Singarama (Missing Link)road,1.0,3132927.0,RAMA CHANDRA BEHERA,INR,"507,913.26",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,3138359,BHARAT CHANDRA DAS,20-Oct-2025 03:05 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,3,3137432,GUNA CHANDRA BEHERA,20-Oct-2025 12:36 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,4,3138161,KAMALJIT PRADHAN,20-Oct-2025 02:08 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,5,3138102,MUSTAQ KHAN,20-Oct-2025 02:04 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,6,3135331,NRUSINGH CHARAN SAMANTARAY,19-Oct-2025 11:44 AM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,7,3134170,PRANAYA PRATIK PATTANAIK,18-Oct-2025 01:38 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,8,3136461,PRATAP ROUT,19-Oct-2025 07:11 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,9,3137888,PURNA CHANDRA BEHERA,20-Oct-2025 01:20 PM,Rejected-Technical,Quoted rate at CSR,29-Dec-2025 07:20 PM,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,10,3132927,RAMA CHANDRA BEHERA,17-Oct-2025 05:14 PM,Accepted-AOC,L1 Bidder,29-Dec-2025 07:26 PM,,,,,,,,,,AOC
