S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3109142.0,DAD CONSTRUCTION PRIVATE LIMITED,INR,"22,812,321",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,Bikram Keshari Malla,10-Dec-2025 11:14 AM,finsummary_552266.pdf (798.61 KB),Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_117944_5,12/OPHWC/2025-26,"Cluster of Construction of (24x7) PHC Building and Development work of 24 X 7 PHC Building at Kantilo of Kandapada Block,Dist-Nayagarh",Technical,FIVE BIDDER HAVE PARTICIPATED,MONALISHA PADHY,06-Oct-2025 11:42 AM,,Finance,Financial bid opened,MONALISHA PADHY,23-Oct-2025 11:40 AM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,22-Oct-2025 07:15 PM,23-Oct-2025 10:30 AM,techsummary_552266.pdf (375.18 KB),10-Dec-2025,"INR 22,812,321",180.0,Bikram Keshari Malla,10-Dec-2025 11:21 AM,PHC.pdf (81.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 08.12.2025,1,3100676,Bijaya Kumar Jena,02-Oct-2025 12:27 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Dec-2025 11:14 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,"Cluster of Construction of (24x7) PHC Building and Development work of 24 X 7 PHC Building at Kantilo of Kandapada Block,Dist-Nayagarh",Building Work,Please refer Tender documents. ,NA ,"2,56,34,701",Civil Works - Buildings,NA ,Tender,90.0,180.0,Nayagarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,Orissa State Police Housing and Welfare Corporation Ltd,12/OPHWC/2025-26,2025_OSPHW_117944_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"2,56,300",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,12-Sep-2025 06:55 PM,06-Oct-2025 10:30 AM,12-Sep-2025 06:55 PM,04-Oct-2025 05:00 PM,NA ,NA ,12-Sep-2025 06:55 PM,04-Oct-2025 05:00 PM,23-Oct-2025 10:30 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3109142,DAD CONSTRUCTION PRIVATE LIMITED,04-Oct-2025 04:29 PM,Accepted-AOC,QUALIFIED BIDDER,10-Dec-2025 11:22 AM,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3078648,RAJ KISHORE DALEI,29-Sep-2025 01:55 PM,Rejected-Technical,Non securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m),22-Oct-2025 07:15 PM,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3109709,SUSANTA KUMAR SAHOO,04-Oct-2025 04:30 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Dec-2025 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3109570,SUSANTA KUMAR SAHOO,04-Oct-2025 03:45 PM,Rejected-Finance,DUE TO L2 BIDDER,10-Dec-2025 11:14 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
